id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Avada Kedavra;15704.0;-6084.0;-824.0;-2912.0;-810.0;-12.0;0
1;Khaloud;Avada Kedavra;15456.0;-6164.0;-1148.0;-2928.0;-735.0;289.0;102
2;Khaloud;Avada Kedavra;15428.0;-6180.0;540.0;-2896.0;-926.0;93.0;206
3;Khaloud;Avada Kedavra;14180.0;-5584.0;4520.0;-2896.0;-3955.0;329.0;309
4;Khaloud;Avada Kedavra;15804.0;-4796.0;2356.0;-2912.0;-8619.0;-1.0;412
5;Khaloud;Avada Kedavra;15980.0;-3596.0;-3664.0;-2880.0;-10123.0;-578.0;515
6;Khaloud;Avada Kedavra;16816.0;-2976.0;-6652.0;-2912.0;-7139.0;169.0;618
7;Khaloud;Avada Kedavra;15232.0;-2548.0;-8560.0;-2912.0;-1964.0;727.0;722
8;Khaloud;Avada Kedavra;15556.0;-1248.0;-9424.0;-2896.0;3117.0;1236.0;825
9;Khaloud;Avada Kedavra;16388.0;-1368.0;-3056.0;-2896.0;8463.0;2191.0;928
10;Khaloud;Avada Kedavra;19888.0;-1880.0;3428.0;-2896.0;6790.0;934.0;1031
11;Khaloud;Avada Kedavra;19160.0;-1908.0;7776.0;-2928.0;1429.0;173.0;1134
12;Khaloud;Avada Kedavra;16276.0;-1840.0;6336.0;-2928.0;-6391.0;-871.0;1238
13;Khaloud;Avada Kedavra;17984.0;336.0;-2736.0;-2928.0;-10702.0;-2932.0;1341
14;Khaloud;Avada Kedavra;16208.0;-272.0;-8828.0;-2912.0;-3117.0;-455.0;1444
15;Khaloud;Avada Kedavra;16828.0;-1240.0;-3660.0;-2928.0;-1064.0;-490.0;1547
16;Khaloud;Avada Kedavra;17748.0;-792.0;-3256.0;-2896.0;-1052.0;-663.0;1650
17;Khaloud;Avada Kedavra;17300.0;-1088.0;-1468.0;-2896.0;-650.0;-36.0;1754
18;Khaloud;Avada Kedavra;17148.0;-1056.0;-1968.0;-2896.0;-1063.0;-157.0;1856
