id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Avada Kedavra;-13308.0;-7940.0;-2812.0;-3072.0;-1227.0;263.0;0
1;Khaloud;Avada Kedavra;-13140.0;-7868.0;-7564.0;-3104.0;-1047.0;326.0;102
2;Khaloud;Avada Kedavra;-10680.0;-6896.0;-12704.0;-3056.0;5368.0;-1303.0;205
3;Khaloud;Avada Kedavra;-13028.0;-5128.0;-7032.0;-3056.0;12784.0;1298.0;309
4;Khaloud;Avada Kedavra;-12712.0;-3568.0;628.0;-3088.0;14378.0;47.0;412
5;Khaloud;Avada Kedavra;-14560.0;-2664.0;9432.0;-3088.0;6733.0;-1065.0;516
6;Khaloud;Avada Kedavra;-18492.0;-316.0;14028.0;-3072.0;-7645.0;1611.0;618
7;Khaloud;Avada Kedavra;-15936.0;-112.0;360.0;-3072.0;-17049.0;1208.0;721
8;Khaloud;Avada Kedavra;-14000.0;-1396.0;-6752.0;-3072.0;-19588.0;1243.0;825
9;Khaloud;Avada Kedavra;-17456.0;-4972.0;-19008.0;-3104.0;-6586.0;371.0;928
10;Khaloud;Avada Kedavra;-14708.0;-3420.0;-12796.0;-3104.0;2286.0;-1069.0;1032
11;Khaloud;Avada Kedavra;-15540.0;-1568.0;-9100.0;-3072.0;13942.0;-535.0;1134
12;Khaloud;Avada Kedavra;-17168.0;188.0;10012.0;-3104.0;9349.0;-1746.0;1238
13;Khaloud;Avada Kedavra;-17140.0;-2028.0;-312.0;-3088.0;83.0;416.0;1341
14;Khaloud;Avada Kedavra;-14388.0;-2728.0;-1420.0;-3104.0;-703.0;-217.0;1444
15;Khaloud;Avada Kedavra;-15848.0;-2564.0;-3300.0;-3072.0;-1230.0;-231.0;1547
