id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Tornado;-14844.0;-5124.0;-6056.0;-3056.0;80.0;-299.0;0
1;Khaloud;Tornado;-11944.0;-4832.0;-512.0;-3088.0;289.0;1768.0;102
2;Khaloud;Tornado;-18660.0;-6116.0;-17252.0;-3088.0;6113.0;-444.0;205
3;Khaloud;Tornado;-30284.0;1168.0;14048.0;-3072.0;9808.0;-5538.0;309
4;Khaloud;Tornado;-6608.0;1256.0;12636.0;-3056.0;-13745.0;4234.0;412
5;Khaloud;Tornado;7584.0;-2364.0;-13780.0;-3088.0;-17164.0;5581.0;516
6;Khaloud;Tornado;-18040.0;-6036.0;-26208.0;-3088.0;2342.0;-1515.0;619
7;Khaloud;Tornado;-32768.0;-160.0;296.0;-3072.0;19469.0;-9718.0;722
8;Khaloud;Tornado;-15976.0;4032.0;18276.0;-3072.0;639.0;467.0;825
9;Khaloud;Tornado;9984.0;1956.0;4264.0;-3072.0;-22043.0;7783.0;928
10;Khaloud;Tornado;-12200.0;-5004.0;-22784.0;-3072.0;-12951.0;-2704.0;1032
11;Khaloud;Tornado;-21836.0;-3236.0;-13120.0;-3056.0;5091.0;-5479.0;1135
12;Khaloud;Tornado;-19036.0;-3244.0;-2396.0;-3072.0;2356.0;-2106.0;1239
