id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Paper;16120.0;-3100.0;-2040.0;-2912.0;-1385.0;33.0;0
1;Khaloud;Paper;16432.0;-3016.0;-1252.0;-2912.0;-1984.0;-459.0;103
2;Khaloud;Paper;16360.0;-2928.0;-396.0;-2912.0;-3300.0;-235.0;206
3;Khaloud;Paper;15752.0;-2196.0;-16.0;-2912.0;-5074.0;-141.0;309
4;Khaloud;Paper;16020.0;-1932.0;-1532.0;-2912.0;-7271.0;318.0;413
5;Khaloud;Paper;17488.0;-588.0;-2292.0;-2928.0;-7105.0;-381.0;516
6;Khaloud;Paper;16568.0;308.0;-3236.0;-2928.0;-8129.0;-1049.0;619
7;Khaloud;Paper;16960.0;1100.0;-4532.0;-2928.0;-7121.0;-668.0;722
8;Khaloud;Paper;16728.0;1700.0;-4452.0;-2896.0;-6397.0;-196.0;825
9;Khaloud;Paper;17184.0;2164.0;-4660.0;-2896.0;-4620.0;-1491.0;929
10;Khaloud;Paper;16948.0;2536.0;-4832.0;-2880.0;-4214.0;-1523.0;1032
11;Khaloud;Paper;17800.0;3096.0;-4540.0;-2880.0;-3135.0;-1565.0;1135
12;Khaloud;Paper;17560.0;3104.0;-5596.0;-2912.0;-2710.0;-973.0;1238
13;Khaloud;Paper;17772.0;3280.0;-5760.0;-2912.0;-1065.0;-338.0;1342
