id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Rock;16648.0;-4232.0;-2060.0;-2832.0;-912.0;-188.0;0
1;Khaloud;Rock;16216.0;-4084.0;-2296.0;-2816.0;-785.0;-242.0;102
2;Khaloud;Rock;15808.0;-3764.0;-1076.0;-2816.0;-988.0;-265.0;205
3;Khaloud;Rock;17412.0;-3644.0;1688.0;-2816.0;-4475.0;-650.0;309
4;Khaloud;Rock;20700.0;-4224.0;-5816.0;-2800.0;-5086.0;371.0;412
5;Khaloud;Rock;18236.0;-4612.0;-6204.0;-2800.0;-1908.0;-701.0;516
6;Khaloud;Rock;14880.0;-4936.0;-5408.0;-2816.0;1127.0;107.0;618
7;Khaloud;Rock;13412.0;-5364.0;-4088.0;-2816.0;2294.0;460.0;722
8;Khaloud;Rock;13872.0;-5548.0;-4424.0;-2816.0;4039.0;549.0;825
9;Khaloud;Rock;13756.0;-4940.0;-1120.0;-2800.0;4099.0;-303.0;928
10;Khaloud;Rock;15444.0;-4152.0;1920.0;-2832.0;1373.0;-1595.0;1031
11;Khaloud;Rock;16604.0;-4020.0;-1112.0;-2816.0;-361.0;-1483.0;1134
12;Khaloud;Rock;15988.0;-2648.0;2388.0;-2816.0;-3538.0;-1385.0;1238
13;Khaloud;Rock;18864.0;-1612.0;-36.0;-2800.0;-8625.0;-971.0;1341
14;Khaloud;Rock;23972.0;-1872.0;-6228.0;-2800.0;-8715.0;-291.0;1443
15;Khaloud;Rock;20912.0;-2088.0;-8304.0;-2816.0;-2696.0;-1300.0;1547
16;Khaloud;Rock;17168.0;-2960.0;-7132.0;-2800.0;-197.0;-765.0;1650
17;Khaloud;Rock;15316.0;-4348.0;-8312.0;-2800.0;3260.0;282.0;1754
18;Khaloud;Rock;11920.0;-5092.0;-5628.0;-2800.0;5751.0;762.0;1857
19;Khaloud;Rock;11484.0;-5628.0;-3940.0;-2784.0;5590.0;1121.0;1960
20;Khaloud;Rock;10972.0;-5532.0;-476.0;-2784.0;6551.0;-1117.0;2063
21;Khaloud;Rock;12676.0;-5072.0;3560.0;-2816.0;1768.0;-765.0;2166
22;Khaloud;Rock;18068.0;-4036.0;-100.0;-2800.0;155.0;-605.0;2270
23;Khaloud;Rock;16488.0;-3000.0;1552.0;-2816.0;-2221.0;-621.0;2372
24;Khaloud;Rock;17124.0;-1988.0;-1980.0;-2800.0;-3560.0;-952.0;2476
25;Khaloud;Rock;19000.0;-1344.0;-4848.0;-2784.0;-1796.0;32.0;2579
26;Khaloud;Rock;18560.0;596.0;740.0;-2816.0;-3646.0;-1047.0;2683
27;Khaloud;Rock;20080.0;360.0;-4544.0;-2832.0;-3227.0;-754.0;2785
28;Khaloud;Rock;16992.0;632.0;-2508.0;-2800.0;-2937.0;-875.0;2888
29;Khaloud;Rock;17148.0;312.0;-5312.0;-2848.0;-2284.0;-297.0;2992
30;Khaloud;Rock;17032.0;780.0;-3932.0;-2784.0;-1045.0;-262.0;3095
31;Khaloud;Rock;17504.0;1036.0;-2860.0;-2800.0;-647.0;-183.0;3198
32;Khaloud;Rock;17020.0;868.0;-2944.0;-2800.0;-766.0;-103.0;3301
