id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Scissors;16520.0;-2248.0;-812.0;-2768.0;-996.0;19.0;0
1;Khaloud;Scissors;16852.0;-2028.0;-240.0;-2752.0;-2455.0;-419.0;102
2;Khaloud;Scissors;16860.0;-1816.0;876.0;-2752.0;-4072.0;-18.0;206
3;Khaloud;Scissors;17064.0;-1776.0;-952.0;-2768.0;-5256.0;-693.0;309
4;Khaloud;Scissors;17016.0;-1764.0;-1796.0;-2784.0;-5862.0;-236.0;412
5;Khaloud;Scissors;16620.0;-2048.0;-3592.0;-2752.0;-6542.0;322.0;516
6;Khaloud;Scissors;16032.0;-2192.0;-4596.0;-2768.0;-5361.0;-860.0;619
7;Khaloud;Scissors;17004.0;-2080.0;-5120.0;-2768.0;-3844.0;-356.0;722
8;Khaloud;Scissors;16036.0;-2220.0;-6328.0;-2784.0;-1344.0;-117.0;825
9;Khaloud;Scissors;15632.0;-1852.0;-5928.0;-2784.0;-33.0;861.0;929
10;Khaloud;Scissors;14780.0;-1280.0;-5928.0;-2768.0;2853.0;-88.0;1032
11;Khaloud;Scissors;15220.0;-460.0;-5844.0;-2752.0;6116.0;-1943.0;1135
12;Khaloud;Scissors;15908.0;520.0;-2724.0;-2752.0;5168.0;-1293.0;1238
13;Khaloud;Scissors;20180.0;1928.0;-4356.0;-2800.0;5920.0;-915.0;1341
14;Khaloud;Scissors;18764.0;2484.0;-940.0;-2784.0;4418.0;-67.0;1445
15;Khaloud;Scissors;18776.0;1872.0;-2100.0;-2768.0;2399.0;-288.0;1548
16;Khaloud;Scissors;17828.0;1820.0;-1260.0;-2752.0;697.0;-123.0;1651
17;Khaloud;Scissors;18404.0;2320.0;-632.0;-2768.0;-1676.0;542.0;1754
18;Khaloud;Scissors;17360.0;2236.0;120.0;-2752.0;-3709.0;818.0;1857
19;Khaloud;Scissors;16644.0;1868.0;-836.0;-2768.0;-6718.0;1493.0;1961
20;Khaloud;Scissors;16300.0;1540.0;-3964.0;-2752.0;-7617.0;1054.0;2064
21;Khaloud;Scissors;17100.0;1368.0;-6128.0;-2784.0;-6387.0;129.0;2168
22;Khaloud;Scissors;16212.0;1108.0;-5288.0;-2768.0;-4324.0;-2269.0;2270
23;Khaloud;Scissors;17136.0;1056.0;-6084.0;-2768.0;-3842.0;-1224.0;2373
24;Khaloud;Scissors;16776.0;808.0;-6076.0;-2752.0;-1488.0;-851.0;2477
25;Khaloud;Scissors;16904.0;1228.0;-4252.0;-2736.0;-1190.0;143.0;2580
26;Khaloud;Scissors;17368.0;1252.0;-3564.0;-2752.0;-565.0;5.0;2684
27;Khaloud;Scissors;17184.0;1188.0;-3936.0;-2768.0;-998.0;-272.0;2787
