time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Ziad;Paper;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.05;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.1;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.15;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.2;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.25;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.3;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.35;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.4;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.45;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
0.5;0.0;;;10582.4;346.4;9200.0;-4003.2;-1318.8;-822.8;0.0
