time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
3.612;35.0;Khaloud;Rock;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
3.662;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
3.712;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
3.762;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
3.812;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
3.862;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
3.912;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
3.962;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.012;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.062;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.112;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.162;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.212;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.262;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.312;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.362;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.412;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.462;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.512;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.562;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.612;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.662;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.712;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.762;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.812;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.862;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.912;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
4.962;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.012;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.062;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.112;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.162;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.212;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.262;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.312;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.362;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.412;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.462;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.512;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.562;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.612;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.662;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.712;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.762;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.812;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.862;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.912;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
5.962;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.012;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.062;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.112;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.162;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.212;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.262;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.312;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.362;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.412;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.462;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.512;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.562;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.612;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.662;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.712;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.762;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.812;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.862;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.912;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
6.962;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.012;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.062;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.112;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.162;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.212;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.262;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.312;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.362;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.412;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.462;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.512;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.562;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.612;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.662;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.712;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.762;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.812;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.862;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.912;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
7.962;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
8.012;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
8.062;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
8.112;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
8.162;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
8.212;35.0;;;16161.6;747.2;432.0;-3011.2;-1426.6;-716.2;3612.0
