time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Ziad;Scissors;-15060.0;2994.4;-3400.0;-2572.8;2642.2;-763.0;0.0
0.05;0.48484848484848486;;;-15083.442424242425;3062.327272727273;-3434.9333333333334;-2572.9939393939394;2516.5151515151515;-732.769696969697;50.0
0.1;0.9696969696969697;;;-15106.884848484848;3130.2545454545457;-3469.866666666667;-2573.187878787879;2390.8303030303027;-702.5393939393939;100.0
0.15;1.4545454545454546;;;-15130.327272727272;3198.181818181818;-3504.8;-2573.3818181818183;2265.1454545454544;-672.3090909090909;150.0
0.2;1.9393939393939394;;;-15153.769696969697;3266.109090909091;-3539.7333333333336;-2573.5757575757575;2139.4606060606056;-642.0787878787879;200.0
0.25;2.4242424242424243;;;-15177.212121212122;3334.0363636363636;-3574.6666666666665;-2573.769696969697;2013.7757575757573;-611.8484848484849;250.0
0.3;2.909090909090909;;;-15200.654545454545;3401.9636363636364;-3609.6;-2573.9636363636364;1888.0909090909088;-581.6181818181818;300.0
0.35;3.393939393939394;;;-15224.09696969697;3469.890909090909;-3644.5333333333333;-2574.157575757576;1762.4060606060602;-551.3878787878788;350.0
0.4;3.878787878787879;;;-15247.539393939394;3537.818181818182;-3679.4666666666667;-2574.3515151515153;1636.721212121212;-521.1575757575757;400.0
0.45;4.363636363636363;;;-15270.98181818182;3605.745454545455;-3714.4;-2574.5454545454545;1511.0363636363634;-490.92727272727274;450.0
0.5;4.848484848484849;;;-15294.424242424242;3673.6727272727276;-3749.3333333333335;-2574.739393939394;1385.3515151515148;-460.6969696969697;500.0
0.55;5.333333333333334;;;-15317.866666666667;3741.6;-3784.266666666667;-2574.9333333333334;1259.6666666666663;-430.46666666666664;550.0
0.6;5.818181818181818;;;-15341.309090909092;3809.5272727272727;-3819.2;-2575.1272727272726;1133.9818181818177;-400.23636363636365;600.0
0.65;6.303030303030303;;;-15364.751515151514;3877.4545454545455;-3854.133333333333;-2575.3212121212123;1008.2969696969692;-370.0060606060606;650.0
0.7;6.787878787878788;;;-15388.19393939394;3945.3818181818183;-3889.0666666666666;-2575.5151515151515;882.6121212121209;-339.77575757575755;700.0
0.75;7.272727272727273;;;-15411.636363636364;4013.309090909091;-3924.0;-2575.7090909090907;756.9272727272723;-309.54545454545456;750.0
0.8;7.757575757575758;;;-15435.078787878789;4081.2363636363634;-3958.9333333333334;-2575.9030303030304;631.2424242424238;-279.3151515151515;800.0
0.85;8.242424242424242;;;-15458.521212121212;4149.163636363636;-3993.866666666667;-2576.0969696969696;505.55757575757525;-249.08484848484852;850.0
0.9;8.727272727272727;;;-15481.963636363636;4217.090909090909;-4028.8;-2576.2909090909093;379.87272727272693;-218.85454545454547;900.0
0.95;9.212121212121213;;;-15505.406060606061;4285.018181818182;-4063.7333333333336;-2576.4848484848485;254.18787878787816;-188.62424242424242;950.0
1.0;9.696969696969697;;;-15528.848484848486;4352.945454545455;-4098.666666666667;-2576.6787878787877;128.50303030302985;-158.39393939393938;1000.0
1.05;10.181818181818182;;;-15552.290909090909;4420.872727272727;-4133.6;-2576.8727272727274;2.818181818181074;-128.16363636363633;1050.0
1.1;10.666666666666668;;;-15575.733333333334;4488.8;-4168.533333333334;-2577.0666666666666;-122.86666666666724;-97.93333333333328;1100.0
1.15;11.151515151515152;;;-15599.175757575758;4556.727272727273;-4203.466666666667;-2577.260606060606;-248.55151515151556;-67.70303030303035;1150.0
1.2;11.636363636363637;;;-15622.618181818181;4624.654545454545;-4238.4;-2577.4545454545455;-374.23636363636433;-37.4727272727273;1200.0
1.25;12.121212121212121;;;-15646.060606060606;4692.581818181818;-4273.333333333334;-2577.6484848484847;-499.92121212121265;-7.242424242424249;1250.0
1.3;12.606060606060606;;;-15669.50303030303;4760.50909090909;-4308.266666666666;-2577.842424242424;-625.6060606060614;22.9878787878788;1300.0
1.35;13.090909090909092;;;-15692.945454545456;4828.436363636363;-4343.2;-2578.0363636363636;-751.2909090909097;53.21818181818185;1350.0
1.4;13.575757575757576;;;-15716.387878787878;4896.363636363636;-4378.133333333333;-2578.230303030303;-876.975757575758;83.4484848484849;1400.0
1.45;14.06060606060606;;;-15739.830303030303;4964.290909090909;-4413.066666666667;-2578.4242424242425;-1002.6606060606068;113.67878787878783;1450.0
1.5;14.545454545454547;;;-15763.272727272728;5032.218181818182;-4448.0;-2578.6181818181817;-1128.3454545454551;143.90909090909088;1500.0
1.55;15.030303030303031;;;-15786.715151515153;5100.145454545454;-4482.933333333333;-2578.812121212121;-1254.030303030304;174.13939393939393;1550.0
1.6;15.515151515151516;;;-15810.157575757576;5168.072727272727;-4517.866666666667;-2579.0060606060606;-1379.7151515151522;204.36969696969697;1600.0
1.65;16.0;Ziad;Scissors;-15833.6;5236.0;-4552.8;-2579.2;-1505.4;234.6;1650.0
1.7;16.0;;;-15833.6;5236.0;-4552.8;-2579.2;-1505.4;234.6;1650.0
1.75;16.0;;;-15833.6;5236.0;-4552.8;-2579.2;-1505.4;234.6;1650.0
1.8;16.0;;;-15833.6;5236.0;-4552.8;-2579.2;-1505.4;234.6;1650.0
1.85;16.0;;;-15833.6;5236.0;-4552.8;-2579.2;-1505.4;234.6;1650.0
1.9;16.0;;;-15833.6;5236.0;-4552.8;-2579.2;-1505.4;234.6;1650.0
