time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Khaloud;Scissor;-14394.4;-4364.8;-5900.0;-2537.6;4846.2;249.2;0.0
0.05;0.484375;;;-14411.225;-4282.125;-5809.625;-2537.45;4814.74375;228.62812499999998;50.0
0.1;0.96875;;;-14428.05;-4199.45;-5719.25;-2537.2999999999997;4783.287499999999;208.05624999999998;100.0
0.15;1.453125;;;-14444.875;-4116.775000000001;-5628.875;-2537.15;4751.83125;187.484375;150.0
0.2;1.9375;;;-14461.699999999999;-4034.1000000000004;-5538.5;-2537.0;4720.375;166.91249999999997;200.0
0.25;2.421875;;;-14478.525;-3951.425;-5448.125;-2536.85;4688.91875;146.340625;250.0
0.3;2.90625;;;-14495.35;-3868.75;-5357.75;-2536.7;4657.4625;125.76874999999998;300.0
0.35;3.390625;;;-14512.175;-3786.0750000000003;-5267.375;-2536.5499999999997;4626.006249999999;105.19687499999998;350.0
0.4;3.875;;;-14529.0;-3703.4;-5177.0;-2536.4;4594.55;84.62499999999997;400.0
0.45;4.359375;;;-14545.824999999999;-3620.7250000000004;-5086.625;-2536.25;4563.09375;64.05312499999997;450.0
0.5;4.84375;;;-14562.65;-3538.05;-4996.25;-2536.1;4531.6375;43.48124999999996;500.0
0.55;5.328125;;;-14579.475;-3455.375;-4905.875;-2535.95;4500.18125;22.909374999999955;550.0
0.6;5.8125;;;-14596.3;-3372.7000000000003;-4815.5;-2535.7999999999997;4468.724999999999;2.3374999999999773;600.0
0.65;6.296875;;;-14613.125;-3290.0250000000005;-4725.125;-2535.65;4437.26875;-18.234375000000057;650.0
0.7;6.78125;;;-14629.95;-3207.3500000000004;-4634.75;-2535.5;4405.8125;-38.806250000000034;700.0
0.75;7.265625;;;-14646.775;-3124.675;-4544.375;-2535.35;4374.35625;-59.37812500000007;750.0
0.8;7.75;;;-14663.6;-3042.0;-4454.0;-2535.2;4342.9;-79.95000000000005;800.0
0.85;8.234375;;;-14680.425;-2959.3250000000003;-4363.625;-2535.0499999999997;4311.44375;-100.52187500000002;850.0
0.9;8.71875;;;-14697.25;-2876.6500000000005;-4273.25;-2534.9;4279.9875;-121.09375000000006;900.0
0.95;9.203125;;;-14714.075;-2793.9750000000004;-4182.875;-2534.75;4248.53125;-141.66562500000003;950.0
1.0;9.6875;;;-14730.9;-2711.3;-4092.5;-2534.6;4217.075;-162.23750000000007;1000.0
1.05;10.171875;;;-14747.725;-2628.625;-4002.125;-2534.45;4185.61875;-182.80937500000005;1050.0
1.1;10.65625;;;-14764.55;-2545.9500000000003;-3911.75;-2534.2999999999997;4154.1625;-203.38125000000008;1100.0
1.15;11.140625;;;-14781.375;-2463.2750000000005;-3821.375;-2534.15;4122.70625;-223.95312500000006;1150.0
1.2;11.625;;;-14798.2;-2380.6000000000004;-3731.0;-2534.0;4091.25;-244.52500000000003;1200.0
1.25;12.109375;;;-14815.025;-2297.925;-3640.625;-2533.85;4059.79375;-265.096875;1250.0
1.3;12.59375;;;-14831.85;-2215.2500000000005;-3550.25;-2533.7;4028.3374999999996;-285.6687500000001;1300.0
1.35;13.078125;;;-14848.675;-2132.5750000000003;-3459.875;-2533.5499999999997;3996.88125;-306.2406250000001;1350.0
1.4;13.5625;;;-14865.5;-2049.9;-3369.5;-2533.4;3965.425;-326.81250000000006;1400.0
1.45;14.046875;;;-14882.325;-1967.2250000000004;-3279.125;-2533.25;3933.96875;-347.38437500000003;1450.0
1.5;14.53125;;;-14899.15;-1884.5500000000002;-3188.75;-2533.1;3902.5125;-367.9562500000001;1500.0
1.55;15.015625;;;-14915.975;-1801.8750000000005;-3098.375;-2532.95;3871.0562499999996;-388.5281250000001;1550.0
1.6;15.5;;;-14932.8;-1719.2000000000003;-3008.0;-2532.8;3839.6;-409.1000000000001;1600.0
1.65;15.984375;;;-14949.625;-1636.525;-2917.625;-2532.65;3808.14375;-429.67187500000006;1650.0
1.7;16.46875;;;-14966.45;-1553.8500000000004;-2827.25;-2532.5;3776.6875;-450.24375000000003;1700.0
1.75;16.953125;;;-14983.275;-1471.1750000000002;-2736.875;-2532.35;3745.23125;-470.8156250000001;1750.0
1.8;17.4375;;;-15000.1;-1388.5000000000005;-2646.5;-2532.2;3713.7749999999996;-491.3875000000001;1800.0
1.85;17.921875;;;-15016.925000000001;-1305.8250000000003;-2556.125;-2532.05;3682.31875;-511.9593750000001;1850.0
1.9;18.40625;;;-15033.75;-1223.15;-2465.75;-2531.9;3650.8625;-532.53125;1900.0
1.95;18.890625;;;-15050.575;-1140.4750000000004;-2375.375;-2531.75;3619.40625;-553.1031250000001;1950.0
2.0;19.375;;;-15067.4;-1057.8000000000002;-2285.0;-2531.6;3587.95;-573.6750000000002;2000.0
2.05;19.859375;;;-15084.225;-975.1250000000005;-2194.625;-2531.45;3556.4937499999996;-594.246875;2050.0
2.1;20.34375;;;-15101.050000000001;-892.4500000000003;-2104.25;-2531.3;3525.0375;-614.8187500000001;2100.0
2.15;20.828125;;;-15117.875;-809.7750000000001;-2013.875;-2531.15;3493.58125;-635.390625;2150.0
2.2;21.3125;;;-15134.7;-727.1000000000004;-1923.5;-2531.0;3462.125;-655.9625000000001;2200.0
2.25;21.796875;;;-15151.525;-644.4250000000002;-1833.125;-2530.85;3430.66875;-676.5343750000002;2250.0
2.3;22.28125;;;-15168.35;-561.7500000000005;-1742.75;-2530.7;3399.2124999999996;-697.10625;2300.0
2.35;22.765625;;;-15185.175000000001;-479.0750000000003;-1652.375;-2530.55;3367.75625;-717.6781250000001;2350.0
2.4;23.25;;;-15202.0;-396.40000000000055;-1562.0;-2530.4;3336.3;-738.25;2400.0
2.45;23.734375;;;-15218.825;-313.72500000000036;-1471.625;-2530.25;3304.84375;-758.8218750000001;2450.0
2.5;24.21875;;;-15235.650000000001;-231.05000000000018;-1381.25;-2530.1;3273.3875;-779.39375;2500.0
2.55;24.703125;;;-15252.475;-148.375;-1290.875;-2529.95;3241.9312499999996;-799.965625;2550.0
2.6;25.1875;;;-15269.300000000001;-65.70000000000073;-1200.5;-2529.8;3210.475;-820.5375000000001;2600.0
2.65;25.671875;;;-15286.125;16.974999999999454;-1110.125;-2529.65;3179.01875;-841.109375;2650.0
2.7;26.15625;;;-15302.95;99.64999999999964;-1019.75;-2529.5;3147.5625;-861.6812500000001;2700.0
2.75;26.640625;;;-15319.775000000001;182.32499999999982;-929.375;-2529.35;3116.10625;-882.2531250000002;2750.0
2.8;27.125;;;-15336.6;265.0;-839.0;-2529.2;3084.65;-902.825;2800.0
2.85;27.609375;;;-15353.425000000001;347.6749999999993;-748.625;-2529.05;3053.19375;-923.3968750000001;2850.0
2.9;28.09375;;;-15370.25;430.34999999999945;-658.25;-2528.9;3021.7375;-943.96875;2900.0
2.95;28.578125;;;-15387.075;513.0249999999996;-567.875;-2528.75;2990.28125;-964.5406250000001;2950.0
3.0;29.0625;;;-15403.900000000001;595.6999999999998;-477.5;-2528.6;2958.825;-985.1125000000002;3000.0
3.05;29.546875;;;-15420.725;678.375;-387.125;-2528.45;2927.36875;-1005.684375;3050.0
3.1;30.03125;;;-15437.550000000001;761.0499999999993;-296.75;-2528.3;2895.9125;-1026.2562500000001;3100.0
3.15;30.515625;;;-15454.375;843.7249999999995;-206.375;-2528.15;2864.45625;-1046.828125;3150.0
3.2;31.0;Khaloud;Scissor;-15471.2;926.4;-116.0;-2528.0;2833.0;-1067.4;3200.0
3.25;31.0;;;-15471.2;926.4;-116.0;-2528.0;2833.0;-1067.4;3200.0
3.3;31.0;;;-15471.2;926.4;-116.0;-2528.0;2833.0;-1067.4;3200.0
3.35;31.0;;;-15471.2;926.4;-116.0;-2528.0;2833.0;-1067.4;3200.0
3.4;31.0;;;-15471.2;926.4;-116.0;-2528.0;2833.0;-1067.4;3200.0
