id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Paper;16128.0;-380.0;796.0;-2992.0;-1895.0;78.0;0
1;Khaloud;Paper;16036.0;-444.0;4.0;-2976.0;-2580.0;573.0;103
2;Khaloud;Paper;17160.0;452.0;1720.0;-2960.0;-2939.0;-147.0;206
3;Khaloud;Paper;16680.0;520.0;1040.0;-2992.0;-3977.0;-307.0;309
4;Khaloud;Paper;16840.0;4.0;-204.0;-2944.0;-4447.0;-1319.0;412
5;Khaloud;Paper;16708.0;284.0;-452.0;-2976.0;-4685.0;-1159.0;516
6;Khaloud;Paper;15796.0;760.0;-756.0;-2944.0;-5297.0;-861.0;618
7;Khaloud;Paper;17224.0;916.0;-1472.0;-2960.0;-5314.0;159.0;722
8;Khaloud;Paper;18384.0;1940.0;-2544.0;-2960.0;-5677.0;-300.0;825
9;Khaloud;Paper;17824.0;1716.0;-1424.0;-3024.0;-2924.0;-3423.0;928
10;Khaloud;Paper;18508.0;2828.0;-796.0;-2976.0;-3744.0;-2042.0;1032
11;Khaloud;Paper;18184.0;2712.0;-1744.0;-2992.0;-4292.0;-726.0;1134
12;Khaloud;Paper;19356.0;3192.0;-2164.0;-2992.0;-3139.0;-861.0;1238
13;Khaloud;Paper;17736.0;2804.0;-3024.0;-2992.0;-1704.0;245.0;1341
14;Khaloud;Paper;17680.0;3132.0;-1532.0;-2992.0;-1984.0;1013.0;1444
