id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Rock;16052.0;-2156.0;-920.0;-2832.0;-1150.0;-912.0;0
1;Khaloud;Rock;16660.0;-1756.0;-80.0;-2800.0;-4222.0;-1984.0;103
2;Khaloud;Rock;20168.0;-2188.0;-5348.0;-2816.0;-3867.0;-468.0;207
3;Khaloud;Rock;18844.0;-1908.0;-4896.0;-2832.0;-1125.0;-602.0;310
4;Khaloud;Rock;15780.0;-2476.0;-4284.0;-2832.0;-98.0;-1203.0;414
5;Khaloud;Rock;15316.0;-3696.0;-6176.0;-2848.0;464.0;197.0;516
6;Khaloud;Rock;14528.0;-3492.0;-4428.0;-2848.0;3285.0;-158.0;619
7;Khaloud;Rock;13880.0;-3136.0;-1352.0;-2832.0;2606.0;-477.0;723
8;Khaloud;Rock;14500.0;-3024.0;472.0;-2816.0;299.0;-2127.0;826
9;Khaloud;Rock;16848.0;-1828.0;-136.0;-2816.0;-1881.0;-131.0;929
10;Khaloud;Rock;20152.0;-768.0;-148.0;-2800.0;-4512.0;169.0;1032
11;Khaloud;Rock;20416.0;-184.0;-3260.0;-2816.0;-5738.0;-1178.0;1135
12;Khaloud;Rock;19008.0;-660.0;-5832.0;-2816.0;-5314.0;-1104.0;1239
13;Khaloud;Rock;19064.0;-1184.0;-7616.0;-2832.0;-3115.0;-749.0;1341
14;Khaloud;Rock;16528.0;-2116.0;-8440.0;-2816.0;498.0;-212.0;1445
15;Khaloud;Rock;15816.0;-2868.0;-6504.0;-2816.0;2743.0;699.0;1548
16;Khaloud;Rock;14304.0;-3608.0;-6164.0;-2832.0;3533.0;2029.0;1652
17;Khaloud;Rock;13396.0;-3888.0;-3604.0;-2816.0;5669.0;794.0;1754
18;Khaloud;Rock;14276.0;-3856.0;-564.0;-2832.0;4155.0;1009.0;1857
19;Khaloud;Rock;13696.0;-4068.0;-424.0;-2848.0;2847.0;-692.0;1961
20;Khaloud;Rock;15792.0;-3420.0;-852.0;-2848.0;509.0;-511.0;2064
21;Khaloud;Rock;15308.0;-1964.0;1200.0;-2832.0;-897.0;-661.0;2167
22;Khaloud;Rock;18364.0;-892.0;-1592.0;-2848.0;-3674.0;735.0;2270
23;Khaloud;Rock;18540.0;-336.0;-3120.0;-2816.0;-3076.0;-948.0;2373
24;Khaloud;Rock;18572.0;900.0;-4004.0;-2832.0;-1471.0;-804.0;2477
25;Khaloud;Rock;17268.0;1404.0;-2224.0;-2816.0;-1088.0;-1562.0;2579
26;Khaloud;Rock;18704.0;744.0;-5112.0;-2816.0;-2327.0;434.0;2683
27;Khaloud;Rock;18324.0;1504.0;-3368.0;-2832.0;-568.0;-59.0;2786
