id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Scissor;-15068.0;-3788.0;-6376.0;-2560.0;437.0;231.0;0
1;Khaloud;Scissor;-15032.0;-3932.0;-6796.0;-2560.0;1833.0;76.0;103
2;Khaloud;Scissor;-13144.0;-4352.0;-5804.0;-2544.0;2850.0;201.0;205
3;Khaloud;Scissor;-14428.0;-4472.0;-6644.0;-2496.0;4423.0;554.0;309
4;Khaloud;Scissor;-14196.0;-4032.0;-4664.0;-2560.0;4651.0;162.0;412
5;Khaloud;Scissor;-14096.0;-4220.0;-4148.0;-2528.0;4842.0;754.0;516
6;Khaloud;Scissor;-15572.0;-4156.0;-4444.0;-2528.0;4790.0;945.0;619
7;Khaloud;Scissor;-16080.0;-3944.0;-4136.0;-2528.0;5341.0;737.0;721
8;Khaloud;Scissor;-13344.0;-3856.0;-2468.0;-2576.0;5813.0;-1012.0;825
9;Khaloud;Scissor;-16280.0;-3780.0;-828.0;-2512.0;5821.0;-666.0;928
10;Khaloud;Scissor;-14056.0;-3460.0;3280.0;-2576.0;2878.0;1293.0;1032
11;Khaloud;Scissor;-14680.0;-3280.0;932.0;-2528.0;-2950.0;-342.0;1135
12;Khaloud;Scissor;-15308.0;-2764.0;-848.0;-2528.0;-5360.0;-278.0;1238
13;Khaloud;Scissor;-15180.0;-2264.0;-1560.0;-2528.0;-6214.0;-189.0;1341
14;Khaloud;Scissor;-15792.0;-1460.0;-2072.0;-2512.0;-6914.0;266.0;1444
15;Khaloud;Scissor;-16544.0;-1116.0;-3928.0;-2544.0;-8010.0;-233.0;1548
16;Khaloud;Scissor;-14440.0;-768.0;-3680.0;-2544.0;-8815.0;-755.0;1651
17;Khaloud;Scissor;-16520.0;-252.0;-3728.0;-2560.0;-6150.0;977.0;1755
18;Khaloud;Scissor;-16364.0;-192.0;-6644.0;-2528.0;-6173.0;-193.0;1857
19;Khaloud;Scissor;-15840.0;32.0;-5464.0;-2544.0;-2947.0;293.0;1961
20;Khaloud;Scissor;-15712.0;492.0;-5316.0;-2576.0;-2728.0;-163.0;2064
21;Khaloud;Scissor;-15232.0;464.0;-6352.0;-2528.0;-473.0;288.0;2167
22;Khaloud;Scissor;-16088.0;916.0;-6440.0;-2528.0;2253.0;-1115.0;2270
23;Khaloud;Scissor;-15176.0;488.0;-5452.0;-2544.0;3947.0;-1520.0;2373
24;Khaloud;Scissor;-15376.0;892.0;-3188.0;-2544.0;4749.0;-2111.0;2477
25;Khaloud;Scissor;-15684.0;836.0;-2344.0;-2560.0;4879.0;-528.0;2580
26;Khaloud;Scissor;-15572.0;684.0;-3080.0;-2496.0;5695.0;-467.0;2683
27;Khaloud;Scissor;-15980.0;892.0;-1244.0;-2576.0;4747.0;-569.0;2786
28;Khaloud;Scissor;-15648.0;260.0;-1820.0;-2544.0;1666.0;-426.0;2889
29;Khaloud;Scissor;-16036.0;540.0;-384.0;-2528.0;1497.0;67.0;2993
30;Khaloud;Scissor;-15604.0;124.0;-768.0;-2544.0;51.0;-498.0;3096
31;Khaloud;Scissor;-15596.0;120.0;-996.0;-2528.0;-607.0;-89.0;3199
32;Khaloud;Scissor;-17256.0;124.0;-2624.0;-2560.0;-990.0;-119.0;3302
