id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Paper;12684.0;-4004.0;8428.0;-3920.0;-80.0;74.0;0
1;Ziad;Paper;8852.0;-3768.0;8968.0;-3920.0;-557.0;868.0;103
2;Ziad;Paper;10904.0;-2612.0;8224.0;-3936.0;-817.0;964.0;207
3;Ziad;Paper;12052.0;-988.0;8792.0;-3920.0;-1350.0;381.0;309
4;Ziad;Paper;15868.0;648.0;9164.0;-3920.0;-859.0;27.0;413
5;Ziad;Paper;14996.0;2592.0;7448.0;-3936.0;-1139.0;-361.0;516
6;Ziad;Paper;13172.0;3912.0;7708.0;-3936.0;-1286.0;370.0;618
7;Ziad;Paper;12272.0;4816.0;6848.0;-3920.0;-2251.0;-1601.0;722
8;Ziad;Paper;18848.0;5764.0;6628.0;-3920.0;-1524.0;-257.0;825
9;Ziad;Paper;15740.0;5044.0;7156.0;-3904.0;-1139.0;-814.0;929
