id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Rock;17464.0;1296.0;-1068.0;-3680.0;-1738.0;46.0;0
1;Ziad;Rock;20748.0;2064.0;-700.0;-3680.0;-4583.0;-717.0;104
2;Ziad;Rock;22148.0;996.0;-5828.0;-3696.0;-2754.0;998.0;206
3;Ziad;Rock;15280.0;-1148.0;-9868.0;-3696.0;889.0;2510.0;310
4;Ziad;Rock;10556.0;-1784.0;-4616.0;-3664.0;5476.0;5150.0;413
5;Ziad;Rock;13032.0;-2180.0;956.0;-3712.0;7860.0;1365.0;516
6;Ziad;Rock;15192.0;-1020.0;4756.0;-3648.0;1349.0;-1127.0;619
7;Ziad;Rock;21328.0;1372.0;3744.0;-3696.0;-1139.0;-1586.0;722
8;Ziad;Rock;22032.0;1696.0;16.0;-3680.0;-5069.0;-2302.0;826
9;Ziad;Rock;22496.0;2056.0;-2372.0;-3680.0;-8957.0;-3168.0;929
10;Ziad;Rock;20016.0;1144.0;-3940.0;-3696.0;-8473.0;-2103.0;1033
11;Ziad;Rock;17204.0;-1248.0;-8404.0;-3664.0;-4909.0;117.0;1135
12;Ziad;Rock;13912.0;-2564.0;-9380.0;-3632.0;3286.0;2558.0;1238
13;Ziad;Rock;10504.0;-3516.0;-8028.0;-3664.0;12002.0;7744.0;1342
14;Ziad;Rock;9832.0;-1380.0;3140.0;-3664.0;14433.0;6453.0;1445
15;Ziad;Rock;13140.0;1140.0;14824.0;-3664.0;3134.0;-944.0;1548
16;Ziad;Rock;17480.0;2812.0;4240.0;-3680.0;-9913.0;-5676.0;1651
17;Ziad;Rock;20008.0;688.0;-3168.0;-3680.0;-7991.0;-5186.0;1754
18;Ziad;Rock;16760.0;1240.0;-2844.0;-3680.0;-2495.0;-4392.0;1858
19;Ziad;Rock;17652.0;1960.0;-2280.0;-3664.0;-3122.0;-832.0;1961
20;Ziad;Rock;17408.0;3036.0;-2484.0;-3664.0;-2138.0;1180.0;2064
21;Ziad;Rock;18756.0;3128.0;-3184.0;-3696.0;-1716.0;935.0;2167
22;Ziad;Rock;16464.0;2988.0;-1692.0;-3696.0;-342.0;870.0;2271
