id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Scissors;-15540.0;3968.0;-4252.0;-2576.0;1657.0;459.0;0
1;Ziad;Scissors;-15008.0;3940.0;-4280.0;-2592.0;2482.0;180.0;103
2;Ziad;Scissors;-15824.0;3928.0;-2088.0;-2576.0;3343.0;-806.0;207
3;Ziad;Scissors;-14596.0;3356.0;-2132.0;-2592.0;2767.0;95.0;310
4;Ziad;Scissors;-15144.0;3572.0;-1764.0;-2576.0;2481.0;-1065.0;413
5;Ziad;Scissors;-15724.0;3440.0;-2224.0;-2592.0;2201.0;-1125.0;516
6;Ziad;Scissors;-15800.0;3596.0;-948.0;-2608.0;899.0;-1144.0;620
7;Ziad;Scissors;-14968.0;3220.0;-736.0;-2560.0;-255.0;-694.0;723
8;Ziad;Scissors;-14548.0;3672.0;388.0;-2576.0;-1810.0;-569.0;826
9;Ziad;Scissors;-14184.0;3896.0;-288.0;-2560.0;-2890.0;198.0;929
10;Ziad;Scissors;-14876.0;3544.0;-540.0;-2544.0;-3170.0;437.0;1032
11;Ziad;Scissors;-14856.0;3332.0;-1632.0;-2576.0;-2826.0;373.0;1136
12;Ziad;Scissors;-13524.0;3364.0;-2280.0;-2560.0;-4629.0;1113.0;1239
13;Ziad;Scissors;-17180.0;4168.0;-4400.0;-2576.0;-4170.0;492.0;1341
14;Ziad;Scissors;-14696.0;4268.0;-4352.0;-2592.0;-4801.0;2531.0;1445
15;Ziad;Scissors;-15504.0;4320.0;-4244.0;-2576.0;-2284.0;269.0;1548
16;Ziad;Scissors;-16436.0;4456.0;-6824.0;-2560.0;-1844.0;549.0;1652
17;Ziad;Scissors;-15816.0;4980.0;-6524.0;-2576.0;766.0;1058.0;1754
18;Ziad;Scissors;-14360.0;5136.0;-5796.0;-2592.0;2587.0;837.0;1858
19;Ziad;Scissors;-15064.0;4716.0;-3756.0;-2592.0;2847.0;497.0;1961
20;Ziad;Scissors;-13496.0;4420.0;-1700.0;-2576.0;3987.0;888.0;2064
21;Ziad;Scissors;-14844.0;4196.0;-3200.0;-2576.0;2705.0;-1646.0;2167
22;Ziad;Scissors;-15200.0;3968.0;-2408.0;-2560.0;906.0;-1271.0;2270
23;Ziad;Scissors;-13560.0;3700.0;-1328.0;-2576.0;-618.0;-1340.0;2374
24;Ziad;Scissors;-16044.0;3912.0;-552.0;-2624.0;-1161.0;-2015.0;2477
25;Ziad;Scissors;-16280.0;4000.0;-2604.0;-2608.0;-1322.0;-221.0;2581
26;Ziad;Scissors;-15488.0;3748.0;-2932.0;-2576.0;-1404.0;218.0;2683
27;Ziad;Scissors;-14884.0;3732.0;-4204.0;-2592.0;-1250.0;474.0;2786
