id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Avada Kedavra;13636.0;-5064.0;4948.0;-2928.0;-2096.0;159.0;0
1;Khaloud;Avada Kedavra;13476.0;-4420.0;8504.0;-2928.0;-5185.0;-898.0;103
2;Khaloud;Avada Kedavra;14144.0;-2972.0;7824.0;-2912.0;-11165.0;-827.0;207
3;Khaloud;Avada Kedavra;14924.0;-2128.0;-1620.0;-2944.0;-12353.0;-2122.0;309
4;Khaloud;Avada Kedavra;19004.0;-1536.0;-9492.0;-2928.0;-6743.0;-87.0;412
5;Khaloud;Avada Kedavra;17928.0;-460.0;-10376.0;-2896.0;2377.0;1721.0;516
6;Khaloud;Avada Kedavra;16112.0;484.0;-2056.0;-2928.0;11324.0;1142.0;619
7;Khaloud;Avada Kedavra;19104.0;112.0;4932.0;-2896.0;9542.0;300.0;722
8;Khaloud;Avada Kedavra;17812.0;164.0;10876.0;-2912.0;5647.0;600.0;825
9;Khaloud;Avada Kedavra;16196.0;296.0;11476.0;-2912.0;-6020.0;-1617.0;928
10;Khaloud;Avada Kedavra;15952.0;1396.0;1560.0;-2912.0;-9534.0;-3116.0;1032
11;Khaloud;Avada Kedavra;18544.0;1824.0;-4020.0;-2944.0;-7403.0;-2603.0;1134
12;Khaloud;Avada Kedavra;18248.0;884.0;-4216.0;-2896.0;-2605.0;-450.0;1238
13;Khaloud;Avada Kedavra;17192.0;736.0;-1168.0;-2928.0;-863.0;-128.0;1341
14;Khaloud;Avada Kedavra;17008.0;476.0;-20.0;-2896.0;-478.0;-680.0;1445
15;Khaloud;Avada Kedavra;16860.0;300.0;-320.0;-2880.0;-905.0;-398.0;1547
