id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Rock;17724.0;-7196.0;644.0;-3328.0;-4302.0;-2094.0;0
1;Khaloud;Rock;14492.0;-2944.0;10108.0;-3312.0;-7176.0;-1816.0;103
2;Khaloud;Rock;31512.0;-6068.0;-2028.0;-3312.0;-14557.0;7506.0;206
3;Khaloud;Rock;18952.0;-9384.0;-14384.0;-3312.0;-1672.0;521.0;310
4;Khaloud;Rock;76.0;-4724.0;-8316.0;-3328.0;14951.0;830.0;413
5;Khaloud;Rock;1788.0;-1756.0;7796.0;-3312.0;11605.0;-6447.0;516
6;Khaloud;Rock;9188.0;-1000.0;18232.0;-3296.0;-2307.0;-2283.0;619
7;Khaloud;Rock;30484.0;-4340.0;11352.0;-3312.0;-16450.0;-1622.0;722
8;Khaloud;Rock;32767.0;-6604.0;-8068.0;-3344.0;-9663.0;92.0;826
9;Khaloud;Rock;16160.0;-4948.0;-10948.0;-3328.0;-3322.0;-895.0;929
10;Khaloud;Rock;6508.0;-2912.0;-10788.0;-3328.0;11701.0;582.0;1033
11;Khaloud;Rock;-1044.0;-1956.0;1868.0;-3344.0;14892.0;-3877.0;1135
12;Khaloud;Rock;4072.0;-56.0;16068.0;-3312.0;8710.0;-20.0;1238
13;Khaloud;Rock;16504.0;-3448.0;14140.0;-3344.0;-915.0;1154.0;1342
14;Khaloud;Rock;27460.0;-6588.0;4140.0;-3312.0;-3009.0;2108.0;1445
15;Khaloud;Rock;18228.0;-4328.0;6384.0;-3328.0;-138.0;55.0;1549
