id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Scissors;12912.0;-6820.0;9992.0;-3376.0;-1819.0;248.0;0
1;Khaloud;Scissors;13132.0;-2656.0;18176.0;-3360.0;-13157.0;3521.0;103
2;Khaloud;Scissors;11460.0;-2632.0;444.0;-3312.0;-21562.0;2682.0;207
3;Khaloud;Scissors;17064.0;-5904.0;-11064.0;-3328.0;-16919.0;-788.0;309
4;Khaloud;Scissors;14588.0;-7176.0;-14144.0;-3344.0;-4145.0;213.0;412
5;Khaloud;Scissors;16744.0;-4564.0;-15468.0;-3328.0;5990.0;214.0;516
6;Khaloud;Scissors;17064.0;-1624.0;-8264.0;-3312.0;14668.0;-936.0;619
7;Khaloud;Scissors;18604.0;-1200.0;6960.0;-3328.0;15394.0;-6552.0;723
8;Khaloud;Scissors;13576.0;-1248.0;11224.0;-3344.0;12858.0;-496.0;825
9;Khaloud;Scissors;17376.0;296.0;22476.0;-3328.0;-6920.0;-867.0;928
10;Khaloud;Scissors;18240.0;1248.0;7648.0;-3328.0;-18877.0;-211.0;1032
11;Khaloud;Scissors;19620.0;-796.0;-11576.0;-3312.0;-16400.0;-4340.0;1135
12;Khaloud;Scissors;16044.0;-2124.0;-10312.0;-3328.0;-4526.0;-223.0;1239
