id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Avada Kedavra;-9216.0;-10268.0;-8876.0;-3056.0;-2148.0;1.0;0
1;Khaloud;Avada Kedavra;-4064.0;-7800.0;-20316.0;-3072.0;2712.0;3761.0;104
2;Khaloud;Avada Kedavra;-10448.0;-4168.0;-15036.0;-3104.0;14027.0;4159.0;206
3;Khaloud;Avada Kedavra;-12528.0;-1520.0;-7588.0;-3072.0;16365.0;2346.0;310
4;Khaloud;Avada Kedavra;-21740.0;-1348.0;9608.0;-3072.0;12737.0;367.0;413
5;Khaloud;Avada Kedavra;-15784.0;-3912.0;8148.0;-3040.0;-213.0;226.0;517
6;Khaloud;Avada Kedavra;-17564.0;-1824.0;4812.0;-3056.0;-9200.0;1013.0;620
7;Khaloud;Avada Kedavra;-20768.0;-1516.0;-64.0;-3072.0;-14456.0;-2183.0;722
8;Khaloud;Avada Kedavra;-17780.0;-2632.0;-4128.0;-3040.0;-15876.0;-2223.0;826
9;Khaloud;Avada Kedavra;-9588.0;-1560.0;-21028.0;-3072.0;-16742.0;-1001.0;929
10;Khaloud;Avada Kedavra;-10284.0;-2580.0;-24756.0;-3072.0;2346.0;-951.0;1033
11;Khaloud;Avada Kedavra;-12416.0;-944.0;-13204.0;-3072.0;13763.0;-1509.0;1136
12;Khaloud;Avada Kedavra;-17536.0;-696.0;-1152.0;-3072.0;17255.0;3207.0;1238
13;Khaloud;Avada Kedavra;-19424.0;-2668.0;6732.0;-3072.0;8692.0;3190.0;1342
14;Khaloud;Avada Kedavra;-15012.0;-2748.0;676.0;-3024.0;479.0;709.0;1445
15;Khaloud;Avada Kedavra;-17152.0;-2944.0;-5608.0;-3056.0;-708.0;533.0;1549
