id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Tornado;-17968.0;-6348.0;-9432.0;-3104.0;-279.0;-1711.0;0
1;Khaloud;Tornado;-12040.0;-4780.0;-5504.0;-3136.0;-699.0;-2558.0;103
2;Khaloud;Tornado;-20532.0;-5384.0;-4488.0;-3120.0;-3745.0;2143.0;207
3;Khaloud;Tornado;-3800.0;-3684.0;-7752.0;-3120.0;-8781.0;-2715.0;309
4;Khaloud;Tornado;-2044.0;-3796.0;-17532.0;-3120.0;-5127.0;-675.0;413
5;Khaloud;Tornado;-13208.0;-5860.0;-18436.0;-3104.0;3376.0;875.0;516
6;Khaloud;Tornado;-25976.0;-6916.0;-12056.0;-3104.0;8182.0;923.0;619
7;Khaloud;Tornado;-19068.0;-5384.0;-4380.0;-3136.0;6576.0;1833.0;723
8;Khaloud;Tornado;-13840.0;-3864.0;2340.0;-3136.0;1142.0;-5154.0;826
9;Khaloud;Tornado;-556.0;-3364.0;-3756.0;-3120.0;-6426.0;-3804.0;929
10;Khaloud;Tornado;-9748.0;-5792.0;-7060.0;-3120.0;-7005.0;-2196.0;1032
11;Khaloud;Tornado;-3428.0;-4320.0;-13800.0;-3136.0;-13538.0;719.0;1136
12;Khaloud;Tornado;-9344.0;-3460.0;-27316.0;-3136.0;-2340.0;8736.0;1239
13;Khaloud;Tornado;-31248.0;-3752.0;-9128.0;-3168.0;8940.0;337.0;1342
14;Khaloud;Tornado;-9784.0;-2000.0;-6744.0;-3152.0;3611.0;-747.0;1446
