id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Paper;15852.0;-4524.0;-316.0;-2896.0;-1558.0;-302.0;0
1;Khaloud;Paper;15240.0;-4000.0;424.0;-2896.0;-3216.0;-293.0;102
2;Khaloud;Paper;15588.0;-3672.0;116.0;-2912.0;-6021.0;-374.0;206
3;Khaloud;Paper;15564.0;-3252.0;-1688.0;-2896.0;-7050.0;-348.0;309
4;Khaloud;Paper;15676.0;-2488.0;-1652.0;-2928.0;-8371.0;-298.0;412
5;Khaloud;Paper;18240.0;-1616.0;-3036.0;-2928.0;-8259.0;-1447.0;515
6;Khaloud;Paper;17516.0;-1416.0;-5536.0;-2928.0;-6901.0;-729.0;618
7;Khaloud;Paper;16548.0;-472.0;-3920.0;-2928.0;-5926.0;-1699.0;722
8;Khaloud;Paper;16172.0;0.0;-7180.0;-2912.0;-5856.0;-2917.0;825
9;Khaloud;Paper;17948.0;712.0;-7864.0;-2928.0;-4320.0;-1738.0;929
10;Khaloud;Paper;18192.0;904.0;-7732.0;-2896.0;-1942.0;-745.0;1031
11;Khaloud;Paper;17552.0;1152.0;-6264.0;-2928.0;-1000.0;-164.0;1134
