id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Rock;16748.0;-3836.0;-2624.0;-2816.0;-1068.0;156.0;0
1;Khaloud;Rock;16276.0;-3708.0;-2516.0;-2800.0;-822.0;153.0;103
2;Khaloud;Rock;16112.0;-3440.0;-928.0;-2784.0;-1657.0;-293.0;206
3;Khaloud;Rock;17584.0;-3588.0;-1744.0;-2784.0;-3498.0;-636.0;309
4;Khaloud;Rock;18900.0;-3852.0;-2192.0;-2832.0;-3830.0;-1102.0;412
5;Khaloud;Rock;19288.0;-4276.0;-6900.0;-2816.0;-2255.0;178.0;516
6;Khaloud;Rock;16172.0;-4664.0;-7072.0;-2832.0;1755.0;498.0;619
7;Khaloud;Rock;12828.0;-4800.0;-4924.0;-2816.0;3762.0;600.0;723
8;Khaloud;Rock;12344.0;-4732.0;-2736.0;-2800.0;4754.0;-644.0;825
9;Khaloud;Rock;13764.0;-4252.0;1080.0;-2816.0;2361.0;-1716.0;928
10;Khaloud;Rock;16500.0;-4092.0;-2356.0;-2800.0;-639.0;-1727.0;1032
11;Khaloud;Rock;16716.0;-3740.0;324.0;-2816.0;-1612.0;-1105.0;1135
12;Khaloud;Rock;17852.0;-3500.0;-1620.0;-2784.0;-3171.0;267.0;1238
13;Khaloud;Rock;17612.0;-2768.0;-1640.0;-2800.0;-3248.0;-113.0;1341
14;Khaloud;Rock;17908.0;-2612.0;-2188.0;-2816.0;-4859.0;230.0;1444
15;Khaloud;Rock;19536.0;-2012.0;-3056.0;-2832.0;-4992.0;-19.0;1548
16;Khaloud;Rock;17084.0;-2044.0;-3268.0;-2816.0;-5541.0;-2089.0;1651
17;Khaloud;Rock;19528.0;-3104.0;-7828.0;-2800.0;-5397.0;-895.0;1754
18;Khaloud;Rock;19504.0;-3588.0;-9920.0;-2848.0;384.0;-992.0;1857
19;Khaloud;Rock;15388.0;-4248.0;-7268.0;-2832.0;3164.0;630.0;1961
20;Khaloud;Rock;13048.0;-5088.0;-5796.0;-2832.0;4248.0;217.0;2064
21;Khaloud;Rock;10424.0;-6472.0;-5096.0;-2816.0;5179.0;708.0;2166
22;Khaloud;Rock;10540.0;-7148.0;-3880.0;-2816.0;5709.0;358.0;2270
23;Khaloud;Rock;11736.0;-6312.0;-68.0;-2800.0;5576.0;-1383.0;2373
24;Khaloud;Rock;13444.0;-5508.0;2456.0;-2784.0;1500.0;-2502.0;2477
25;Khaloud;Rock;15888.0;-4904.0;784.0;-2848.0;-1431.0;-2900.0;2579
26;Khaloud;Rock;17184.0;-4116.0;-1000.0;-2800.0;-3757.0;294.0;2682
27;Khaloud;Rock;19292.0;-2512.0;-856.0;-2816.0;-3994.0;344.0;2786
28;Khaloud;Rock;17816.0;-2152.0;-4012.0;-2816.0;-4688.0;-102.0;2889
29;Khaloud;Rock;16372.0;-1856.0;-4332.0;-2800.0;-3898.0;-503.0;2993
30;Khaloud;Rock;18436.0;-920.0;-4496.0;-2800.0;-1679.0;288.0;3095
31;Khaloud;Rock;18376.0;-860.0;-4428.0;-2816.0;-2297.0;1352.0;3199
32;Khaloud;Rock;18276.0;-456.0;-3176.0;-2832.0;-704.0;-61.0;3302
