id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Scissors;16452.0;-5972.0;-128.0;-2736.0;-811.0;-482.0;0
1;Khaloud;Scissors;16000.0;-5720.0;560.0;-2784.0;-769.0;-315.0;103
2;Khaloud;Scissors;14560.0;-5612.0;2020.0;-2784.0;-3065.0;-165.0;207
3;Khaloud;Scissors;16084.0;-5556.0;1348.0;-2752.0;-4970.0;297.0;310
4;Khaloud;Scissors;15024.0;-5172.0;548.0;-2800.0;-7151.0;2729.0;413
5;Khaloud;Scissors;15816.0;-4896.0;484.0;-2752.0;-8170.0;1484.0;516
6;Khaloud;Scissors;16368.0;-4772.0;-2188.0;-2752.0;-7467.0;851.0;619
7;Khaloud;Scissors;16900.0;-5124.0;-5696.0;-2768.0;-7220.0;-83.0;723
8;Khaloud;Scissors;16352.0;-5720.0;-5092.0;-2784.0;-3380.0;-1205.0;826
9;Khaloud;Scissors;16240.0;-5288.0;-4636.0;-2752.0;-1822.0;-615.0;930
10;Khaloud;Scissors;16024.0;-5028.0;-3856.0;-2736.0;-746.0;-140.0;1032
11;Khaloud;Scissors;15232.0;-4704.0;-3288.0;-2768.0;-64.0;-128.0;1136
12;Khaloud;Scissors;13876.0;-4140.0;-5192.0;-2752.0;559.0;11.0;1239
13;Khaloud;Scissors;14608.0;-3532.0;-6224.0;-2768.0;2618.0;942.0;1342
14;Khaloud;Scissors;14892.0;-2140.0;-5180.0;-2752.0;5472.0;-2187.0;1446
15;Khaloud;Scissors;17744.0;-500.0;-2408.0;-2752.0;6629.0;-3066.0;1548
16;Khaloud;Scissors;19576.0;244.0;-1840.0;-2768.0;6126.0;-1220.0;1652
17;Khaloud;Scissors;20112.0;1176.0;684.0;-2784.0;3673.0;-16.0;1755
18;Khaloud;Scissors;18528.0;688.0;-796.0;-2784.0;433.0;253.0;1859
19;Khaloud;Scissors;17880.0;604.0;-1632.0;-2800.0;-731.0;-387.0;1962
20;Khaloud;Scissors;16592.0;852.0;-1656.0;-2768.0;-2003.0;-373.0;2064
21;Khaloud;Scissors;17240.0;1048.0;1476.0;-2752.0;-4712.0;768.0;2168
22;Khaloud;Scissors;18936.0;596.0;-2208.0;-2800.0;-6309.0;1288.0;2271
23;Khaloud;Scissors;17500.0;1184.0;-812.0;-2752.0;-7130.0;-4.0;2375
24;Khaloud;Scissors;16112.0;292.0;-3344.0;-2752.0;-7170.0;469.0;2478
25;Khaloud;Scissors;15704.0;-280.0;-4928.0;-2768.0;-5905.0;-1073.0;2580
26;Khaloud;Scissors;16876.0;-380.0;-7620.0;-2736.0;-4964.0;-54.0;2684
27;Khaloud;Scissors;18332.0;-24.0;-5976.0;-2752.0;-566.0;-838.0;2787
28;Khaloud;Scissors;16632.0;196.0;-2096.0;-2768.0;-226.0;34.0;2891
29;Khaloud;Scissors;17196.0;-44.0;-3668.0;-2768.0;-1281.0;-1.0;2993
