time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
1.445;14.0;Khaloud;Paper;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.495;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.545;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.595;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.645;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.695;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.745;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.795;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.845;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.895;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.945;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
1.995;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.045;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.095;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.145;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.195;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.245;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.295;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.345;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.395;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.445;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.495;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.545;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.595;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.645;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.695;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.745;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.795;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.845;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.895;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.945;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
2.995;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.045;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.095;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.145;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.195;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.245;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.295;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.345;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.395;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.445;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.495;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.545;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.595;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.645;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.695;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.745;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.795;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.845;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.895;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
3.945;14.0;;;16269.6;1297.6;-2329.6;-2787.2;-3139.2;-1.8;1445.0
