time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Khaloud;Rock;16578.4;1442.4;382.4;-3014.4;-2503.6;-675.6;0.0
0.05;0.484375;;;16593.75;1433.325;336.1375;-3014.4500000000003;-2511.225;-656.903125;50.0
0.1;0.96875;;;16609.100000000002;1424.25;289.875;-3014.5;-2518.85;-638.2062500000001;100.0
0.15;1.453125;;;16624.45;1415.1750000000002;243.61249999999995;-3014.55;-2526.475;-619.509375;150.0
0.2;1.9375;;;16639.800000000003;1406.1000000000001;197.34999999999997;-3014.6;-2534.1;-600.8125;200.0
0.25;2.421875;;;16655.15;1397.025;151.08749999999998;-3014.65;-2541.725;-582.115625;250.0
0.3;2.90625;;;16670.5;1387.95;104.82499999999993;-3014.7000000000003;-2549.35;-563.41875;300.0
0.35;3.390625;;;16685.850000000002;1378.875;58.56249999999994;-3014.75;-2556.975;-544.7218750000001;350.0
0.4;3.875;;;16701.2;1369.8000000000002;12.299999999999955;-3014.8;-2564.6;-526.0250000000001;400.0
0.45;4.359375;;;16716.550000000003;1360.7250000000001;-33.962500000000034;-3014.85;-2572.225;-507.328125;450.0
0.5;4.84375;;;16731.9;1351.65;-80.22500000000002;-3014.9;-2579.85;-488.63125;500.0
0.55;5.328125;;;16747.25;1342.575;-126.48750000000007;-3014.9500000000003;-2587.475;-469.93437500000005;550.0
0.6;5.8125;;;16762.600000000002;1333.5;-172.7500000000001;-3015.0;-2595.1;-451.23750000000007;600.0
0.65;6.296875;;;16777.95;1324.4250000000002;-219.01250000000005;-3015.05;-2602.725;-432.54062500000003;650.0
0.7;6.78125;;;16793.3;1315.3500000000001;-265.2750000000001;-3015.1;-2610.35;-413.84375000000006;700.0
0.75;7.265625;;;16808.65;1306.275;-311.5375;-3015.15;-2617.975;-395.146875;750.0
0.8;7.75;;;16824.0;1297.2;-357.80000000000007;-3015.2;-2625.6;-376.45000000000005;800.0
0.85;8.234375;;;16839.350000000002;1288.125;-404.0625000000001;-3015.25;-2633.225;-357.75312500000007;850.0
0.9;8.71875;;;16854.7;1279.0500000000002;-450.32500000000005;-3015.3;-2640.85;-339.05625000000003;900.0
0.95;9.203125;;;16870.05;1269.9750000000001;-496.5875000000001;-3015.35;-2648.475;-320.35937500000006;950.0
1.0;9.6875;;;16885.4;1260.9;-542.85;-3015.4;-2656.1;-301.6625;1000.0
1.05;10.171875;;;16900.75;1251.825;-589.1125000000001;-3015.45;-2663.725;-282.96562500000005;1050.0
1.1;10.65625;;;16916.100000000002;1242.75;-635.3750000000001;-3015.5;-2671.35;-264.26875000000007;1100.0
1.15;11.140625;;;16931.45;1233.6750000000002;-681.6375000000002;-3015.55;-2678.975;-245.57187500000003;1150.0
1.2;11.625;;;16946.8;1224.6000000000001;-727.9000000000002;-3015.6;-2686.6;-226.87500000000006;1200.0
1.25;12.109375;;;16962.15;1215.525;-774.1625;-3015.65;-2694.225;-208.17812500000008;1250.0
1.3;12.59375;;;16977.5;1206.45;-820.4250000000001;-3015.7;-2701.85;-189.48125000000005;1300.0
1.35;13.078125;;;16992.850000000002;1197.375;-866.6875000000001;-3015.75;-2709.475;-170.78437500000007;1350.0
1.4;13.5625;;;17008.2;1188.3000000000002;-912.9500000000002;-3015.8;-2717.1;-152.0875000000001;1400.0
1.45;14.046875;;;17023.55;1179.2250000000001;-959.2125000000002;-3015.85;-2724.725;-133.3906250000001;1450.0
1.5;14.53125;;;17038.9;1170.15;-1005.475;-3015.9;-2732.35;-114.69375000000002;1500.0
1.55;15.015625;;;17054.25;1161.075;-1051.7375000000002;-3015.95;-2739.975;-95.99687500000005;1550.0
1.6;15.5;;;17069.6;1152.0;-1098.0;-3016.0;-2747.6;-77.30000000000007;1600.0
1.65;15.984375;;;17084.95;1142.9250000000002;-1144.2625000000003;-3016.05;-2755.225;-58.60312500000009;1650.0
1.7;16.46875;;;17100.3;1133.8500000000001;-1190.525;-3016.1;-2762.85;-39.906250000000114;1700.0
1.75;16.953125;;;17115.65;1124.775;-1236.7875;-3016.15;-2770.475;-21.209375000000023;1750.0
1.8;17.4375;;;17131.0;1115.7;-1283.0500000000002;-3016.2;-2778.1;-2.5125000000000455;1800.0
1.85;17.921875;;;17146.35;1106.625;-1329.3125;-3016.25;-2785.725;16.184374999999932;1850.0
1.9;18.40625;;;17161.7;1097.5500000000002;-1375.5750000000003;-3016.3;-2793.35;34.88124999999991;1900.0
1.95;18.890625;;;17177.05;1088.475;-1421.8375;-3016.35;-2800.975;53.578124999999886;1950.0
2.0;19.375;;;17192.4;1079.4;-1468.1;-3016.4;-2808.6;72.27499999999998;2000.0
2.05;19.859375;;;17207.75;1070.325;-1514.3625000000002;-3016.45;-2816.225;90.97187499999995;2050.0
2.1;20.34375;;;17223.1;1061.25;-1560.625;-3016.5;-2823.85;109.66874999999993;2100.0
2.15;20.828125;;;17238.45;1052.1750000000002;-1606.8875000000003;-3016.55;-2831.475;128.3656249999999;2150.0
2.2;21.3125;;;17253.8;1043.1;-1653.15;-3016.6;-2839.1;147.0624999999999;2200.0
2.25;21.796875;;;17269.15;1034.025;-1699.4125;-3016.65;-2846.725;165.75937499999986;2250.0
2.3;22.28125;;;17284.5;1024.95;-1745.6750000000002;-3016.7;-2854.35;184.45624999999995;2300.0
2.35;22.765625;;;17299.85;1015.875;-1791.9375;-3016.75;-2861.975;203.15312499999993;2350.0
2.4;23.25;;;17315.2;1006.8000000000001;-1838.2000000000003;-3016.8;-2869.6;221.8499999999999;2400.0
2.45;23.734375;;;17330.55;997.725;-1884.4625;-3016.85;-2877.225;240.5468749999999;2450.0
2.5;24.21875;;;17345.9;988.6500000000001;-1930.725;-3016.9;-2884.85;259.24374999999986;2500.0
2.55;24.703125;;;17361.25;979.575;-1976.9875000000002;-3016.95;-2892.475;277.94062499999995;2550.0
2.6;25.1875;;;17376.6;970.5;-2023.25;-3017.0;-2900.1;296.63749999999993;2600.0
