time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Ziad;Rock;16268.8;119.2;-4876.0;-3702.4;804.4;286.8;0.0
0.05;0.48484848484848486;;;16276.290909090909;137.04242424242423;-4780.945454545455;-3702.206060606061;703.4787878787879;205.61818181818182;50.0
0.1;0.9696969696969697;;;16283.781818181818;154.88484848484848;-4685.890909090909;-3702.012121212121;602.5575757575757;124.43636363636364;100.0
0.15;1.4545454545454546;;;16291.272727272726;172.72727272727272;-4590.836363636364;-3701.818181818182;501.6363636363636;43.25454545454545;150.0
0.2;1.9393939393939394;;;16298.763636363636;190.56969696969696;-4495.781818181818;-3701.6242424242423;400.7151515151515;-37.92727272727274;200.0
0.25;2.4242424242424243;;;16306.254545454545;208.4121212121212;-4400.727272727273;-3701.430303030303;299.79393939393935;-119.10909090909092;250.0
0.3;2.909090909090909;;;16313.745454545455;226.25454545454545;-4305.672727272728;-3701.236363636364;198.87272727272727;-200.2909090909091;300.0
0.35;3.393939393939394;;;16321.236363636363;244.09696969696967;-4210.618181818181;-3701.042424242424;97.95151515151508;-281.47272727272724;350.0
0.4;3.878787878787879;;;16328.727272727272;261.93939393939394;-4115.563636363637;-3700.848484848485;-2.9696969696969973;-362.6545454545455;400.0
0.45;4.363636363636363;;;16336.218181818182;279.78181818181815;-4020.509090909091;-3700.6545454545453;-103.89090909090908;-443.8363636363637;450.0
0.5;4.848484848484849;;;16343.709090909091;297.6242424242424;-3925.4545454545455;-3700.460606060606;-204.81212121212127;-525.0181818181818;500.0
0.55;5.333333333333334;;;16351.199999999999;315.46666666666664;-3830.3999999999996;-3700.266666666667;-305.73333333333346;-606.2;550.0
0.6;5.818181818181818;;;16358.690909090908;333.30909090909086;-3735.3454545454542;-3700.072727272727;-406.6545454545454;-687.3818181818183;600.0
0.65;6.303030303030303;;;16366.181818181818;351.1515151515151;-3640.290909090909;-3699.878787878788;-507.5757575757576;-768.5636363636365;650.0
0.7;6.787878787878788;;;16373.672727272728;368.99393939393934;-3545.2363636363634;-3699.6848484848483;-608.4969696969698;-849.7454545454545;700.0
0.75;7.272727272727273;;;16381.163636363635;386.8363636363636;-3450.181818181818;-3699.490909090909;-709.4181818181818;-930.9272727272728;750.0
0.8;7.757575757575758;;;16388.654545454545;404.67878787878783;-3355.1272727272726;-3699.29696969697;-810.339393939394;-1012.109090909091;800.0
0.85;8.242424242424242;;;16396.145454545454;422.52121212121205;-3260.072727272727;-3699.10303030303;-911.2606060606062;-1093.2909090909093;850.0
0.9;8.727272727272727;;;16403.636363636364;440.3636363636363;-3165.018181818182;-3698.909090909091;-1012.1818181818181;-1174.4727272727275;900.0
0.95;9.212121212121213;;;16411.127272727274;458.20606060606053;-3069.9636363636364;-3698.715151515152;-1113.1030303030302;-1255.6545454545455;950.0
1.0;9.696969696969697;;;16418.618181818183;476.0484848484848;-2974.909090909091;-3698.521212121212;-1214.0242424242424;-1336.8363636363638;1000.0
1.05;10.181818181818182;;;16426.10909090909;493.890909090909;-2879.8545454545456;-3698.327272727273;-1314.9454545454546;-1418.018181818182;1050.0
1.1;10.666666666666668;;;16433.6;511.7333333333333;-2784.7999999999997;-3698.133333333333;-1415.8666666666668;-1499.2;1100.0
1.15;11.151515151515152;;;16441.090909090908;529.5757575757575;-2689.7454545454543;-3697.939393939394;-1516.7878787878785;-1580.3818181818183;1150.0
1.2;11.636363636363637;;;16448.581818181818;547.4181818181818;-2594.690909090909;-3697.745454545455;-1617.7090909090907;-1661.5636363636365;1200.0
1.25;12.121212121212121;;;16456.072727272727;565.260606060606;-2499.6363636363635;-3697.551515151515;-1718.630303030303;-1742.7454545454548;1250.0
1.3;12.606060606060606;;;16463.563636363637;583.1030303030302;-2404.581818181818;-3697.357575757576;-1819.551515151515;-1823.927272727273;1300.0
1.35;13.090909090909092;;;16471.054545454546;600.9454545454545;-2309.5272727272727;-3697.163636363636;-1920.4727272727273;-1905.109090909091;1350.0
1.4;13.575757575757576;;;16478.545454545456;618.7878787878788;-2214.472727272727;-3696.969696969697;-2021.3939393939395;-1986.290909090909;1400.0
1.45;14.06060606060606;;;16486.03636363636;636.630303030303;-2119.4181818181814;-3696.775757575758;-2122.3151515151512;-2067.4727272727273;1450.0
1.5;14.545454545454547;;;16493.52727272727;654.4727272727273;-2024.363636363636;-3696.581818181818;-2223.2363636363634;-2148.6545454545453;1500.0
1.55;15.030303030303031;;;16501.01818181818;672.3151515151515;-1929.3090909090906;-3696.387878787879;-2324.1575757575756;-2229.836363636364;1550.0
1.6;15.515151515151516;;;16508.50909090909;690.1575757575757;-1834.2545454545452;-3696.193939393939;-2425.078787878788;-2311.018181818182;1600.0
1.65;16.0;Ziad;Rock;16516.0;708.0;-1739.2;-3696.0;-2526.0;-2392.2;1650.0
1.7;16.0;;;16516.0;708.0;-1739.2;-3696.0;-2526.0;-2392.2;1650.0
1.75;16.0;;;16516.0;708.0;-1739.2;-3696.0;-2526.0;-2392.2;1650.0
