time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Ziad;Scissors;-14998.4;3049.6;-197.6;-2588.8;2505.2;453.4;0.0
0.05;0.48484848484848486;;;-15022.036363636364;3120.2181818181816;-248.29090909090908;-2588.509090909091;2371.321212121212;466.0060606060606;50.0
0.1;0.9696969696969697;;;-15045.672727272728;3190.836363636364;-298.9818181818182;-2588.218181818182;2237.442424242424;478.61212121212117;100.0
0.15;1.4545454545454546;;;-15069.30909090909;3261.4545454545455;-349.6727272727273;-2587.927272727273;2103.5636363636363;491.2181818181818;150.0
0.2;1.9393939393939394;;;-15092.945454545454;3332.072727272727;-400.3636363636364;-2587.636363636364;1969.6848484848483;503.8242424242424;200.0
0.25;2.4242424242424243;;;-15116.581818181818;3402.690909090909;-451.05454545454546;-2587.3454545454547;1835.8060606060603;516.430303030303;250.0
0.3;2.909090909090909;;;-15140.218181818182;3473.3090909090906;-501.74545454545455;-2587.0545454545454;1701.9272727272726;529.0363636363636;300.0
0.35;3.393939393939394;;;-15163.854545454546;3543.927272727273;-552.4363636363637;-2586.7636363636366;1568.0484848484848;541.6424242424242;350.0
0.4;3.878787878787879;;;-15187.49090909091;3614.5454545454545;-603.1272727272727;-2586.4727272727273;1434.1696969696968;554.2484848484848;400.0
0.45;4.363636363636363;;;-15211.127272727272;3685.163636363636;-653.8181818181819;-2586.1818181818185;1300.2909090909088;566.8545454545455;450.0
0.5;4.848484848484849;;;-15234.763636363636;3755.7818181818184;-704.5090909090909;-2585.890909090909;1166.412121212121;579.4606060606061;500.0
0.55;5.333333333333334;;;-15258.4;3826.4;-755.2;-2585.6;1032.5333333333333;592.0666666666666;550.0
0.6;5.818181818181818;;;-15282.036363636364;3897.018181818182;-805.8909090909092;-2585.309090909091;898.6545454545453;604.6727272727272;600.0
0.65;6.303030303030303;;;-15305.672727272728;3967.6363636363635;-856.5818181818182;-2585.018181818182;764.7757575757573;617.2787878787879;650.0
0.7;6.787878787878788;;;-15329.30909090909;4038.254545454545;-907.2727272727274;-2584.727272727273;630.8969696969696;629.8848484848485;700.0
0.75;7.272727272727273;;;-15352.945454545454;4108.872727272727;-957.9636363636364;-2584.4363636363637;497.0181818181818;642.4909090909091;750.0
0.8;7.757575757575758;;;-15376.581818181818;4179.49090909091;-1008.6545454545455;-2584.1454545454544;363.1393939393938;655.0969696969696;800.0
0.85;8.242424242424242;;;-15400.218181818182;4250.109090909091;-1059.3454545454547;-2583.8545454545456;229.26060606060582;667.7030303030302;850.0
0.9;8.727272727272727;;;-15423.854545454546;4320.727272727273;-1110.0363636363636;-2583.5636363636363;95.38181818181783;680.3090909090909;900.0
0.95;9.212121212121213;;;-15447.49090909091;4391.345454545455;-1160.7272727272727;-2583.272727272727;-38.4969696969697;692.9151515151515;950.0
