id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Paper;15968.0;-5192.0;628.0;-2928.0;-807.0;128.0;0
1;Khaloud;Paper;15592.0;-4988.0;1320.0;-2928.0;-1463.0;-101.0;104
2;Khaloud;Paper;15424.0;-4780.0;1752.0;-2896.0;-2943.0;-354.0;207
3;Khaloud;Paper;15596.0;-4284.0;2168.0;-2896.0;-4739.0;-540.0;310
4;Khaloud;Paper;15928.0;-4020.0;1300.0;-2896.0;-5688.0;-213.0;413
5;Khaloud;Paper;15180.0;-3668.0;-188.0;-2896.0;-6155.0;-571.0;517
6;Khaloud;Paper;15224.0;-3004.0;-1200.0;-2896.0;-7662.0;-953.0;620
7;Khaloud;Paper;17056.0;-1608.0;-1780.0;-2912.0;-8511.0;-1887.0;723
8;Khaloud;Paper;16600.0;-1292.0;-3360.0;-2912.0;-8099.0;-2954.0;826
9;Khaloud;Paper;16944.0;-768.0;-4940.0;-2864.0;-7920.0;-2371.0;929
10;Khaloud;Paper;17864.0;-372.0;-5624.0;-2896.0;-6853.0;-2453.0;1033
11;Khaloud;Paper;15732.0;-12.0;-6828.0;-2896.0;-6903.0;-2894.0;1136
12;Khaloud;Paper;16652.0;-276.0;-7308.0;-2896.0;-4155.0;-1648.0;1238
13;Khaloud;Paper;17808.0;188.0;-7116.0;-2896.0;-2183.0;-824.0;1342
14;Khaloud;Paper;17988.0;600.0;-6552.0;-2896.0;-690.0;-142.0;1445
15;Khaloud;Paper;16896.0;428.0;-6328.0;-2896.0;-566.0;239.0;1549
