time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Khaloud;Paper;16432.8;-2766.4;-823.2;-2896.0;-4086.8;397.4;0.0
0.05;0.48484848484848486;;;16448.82424242424;-2612.072727272727;-939.0787878787879;-2895.9030303030304;-4009.478787878788;374.5212121212121;50.0
0.1;0.9696969696969697;;;16464.848484848484;-2457.745454545455;-1054.9575757575758;-2895.806060606061;-3932.157575757576;351.6424242424242;100.0
0.15;1.4545454545454546;;;16480.872727272726;-2303.418181818182;-1170.8363636363638;-2895.7090909090907;-3854.836363636364;328.76363636363635;150.0
0.2;1.9393939393939394;;;16496.89696969697;-2149.090909090909;-1286.7151515151515;-2895.612121212121;-3777.5151515151515;305.8848484848485;200.0
0.25;2.4242424242424243;;;16512.92121212121;-1994.7636363636364;-1402.5939393939393;-2895.5151515151515;-3700.1939393939397;283.0060606060606;250.0
0.3;2.909090909090909;;;16528.945454545454;-1840.4363636363637;-1518.4727272727273;-2895.418181818182;-3622.8727272727274;260.1272727272727;300.0
0.35;3.393939393939394;;;16544.969696969696;-1686.1090909090908;-1634.3515151515153;-2895.3212121212123;-3545.5515151515156;237.24848484848482;350.0
0.4;3.878787878787879;;;16560.99393939394;-1531.7818181818182;-1750.230303030303;-2895.2242424242427;-3468.2303030303033;214.36969696969695;400.0
0.45;4.363636363636363;;;16577.01818181818;-1377.4545454545455;-1866.109090909091;-2895.1272727272726;-3390.909090909091;191.49090909090907;450.0
0.5;4.848484848484849;;;16593.042424242423;-1223.1272727272726;-1981.9878787878788;-2895.030303030303;-3313.587878787879;168.6121212121212;500.0
0.55;5.333333333333334;;;16609.066666666666;-1068.8;-2097.866666666667;-2894.9333333333334;-3236.266666666667;145.73333333333332;550.0
0.6;5.818181818181818;;;16625.090909090908;-914.4727272727273;-2213.745454545455;-2894.836363636364;-3158.9454545454546;122.85454545454542;600.0
0.65;6.303030303030303;;;16641.11515151515;-760.1454545454544;-2329.6242424242428;-2894.739393939394;-3081.6242424242428;99.97575757575754;650.0
0.7;6.787878787878788;;;16657.139393939393;-605.8181818181815;-2445.5030303030303;-2894.642424242424;-3004.3030303030305;77.09696969696967;700.0
0.75;7.272727272727273;;;16673.163636363635;-451.4909090909091;-2561.381818181818;-2894.5454545454545;-2926.981818181818;54.21818181818179;750.0
0.8;7.757575757575758;;;16689.187878787878;-297.1636363636362;-2677.260606060606;-2894.448484848485;-2849.6606060606064;31.339393939393915;800.0
0.85;8.242424242424242;;;16705.21212121212;-142.83636363636333;-2793.139393939394;-2894.3515151515153;-2772.339393939394;8.46060606060604;850.0
0.9;8.727272727272727;;;16721.236363636363;11.4909090909091;-2909.018181818182;-2894.2545454545457;-2695.018181818182;-14.418181818181836;900.0
0.95;9.212121212121213;;;16737.260606060605;165.81818181818198;-3024.89696969697;-2894.157575757576;-2617.69696969697;-37.29696969696971;950.0
1.0;9.696969696969697;;;16753.284848484847;320.14545454545487;-3140.775757575758;-2894.060606060606;-2540.3757575757577;-60.175757575757586;1000.0
1.05;10.181818181818182;;;16769.30909090909;474.4727272727273;-3256.6545454545458;-2893.9636363636364;-2463.0545454545454;-83.05454545454546;1050.0
1.1;10.666666666666668;;;16785.333333333332;628.8000000000002;-3372.533333333333;-2893.866666666667;-2385.7333333333336;-105.93333333333334;1100.0
1.15;11.151515151515152;;;16801.357575757575;783.1272727272731;-3488.412121212121;-2893.769696969697;-2308.4121212121213;-128.81212121212127;1150.0
1.2;11.636363636363637;;;16817.381818181817;937.4545454545455;-3604.290909090909;-2893.6727272727276;-2231.090909090909;-151.69090909090914;1200.0
1.25;12.121212121212121;;;16833.40606060606;1091.7818181818184;-3720.169696969697;-2893.5757575757575;-2153.769696969697;-174.56969696969702;1250.0
1.3;12.606060606060606;;;16849.4303030303;1246.1090909090913;-3836.048484848485;-2893.478787878788;-2076.448484848485;-197.4484848484849;1300.0
1.35;13.090909090909092;;;16865.454545454544;1400.4363636363637;-3951.927272727273;-2893.3818181818183;-1999.1272727272726;-220.32727272727277;1350.0
1.4;13.575757575757576;;;16881.478787878787;1554.763636363637;-4067.806060606061;-2893.2848484848487;-1921.8060606060608;-243.20606060606065;1400.0
1.45;14.06060606060606;;;16897.50303030303;1709.0909090909095;-4183.684848484849;-2893.187878787879;-1844.4848484848485;-266.0848484848485;1450.0
1.5;14.545454545454547;;;16913.52727272727;1863.418181818182;-4299.563636363636;-2893.0909090909095;-1767.1636363636362;-288.9636363636364;1500.0
1.55;15.030303030303031;;;16929.551515151514;2017.7454545454552;-4415.442424242424;-2892.9939393939394;-1689.8424242424244;-311.8424242424243;1550.0
1.6;15.515151515151516;;;16945.575757575756;2172.0727272727277;-4531.321212121212;-2892.89696969697;-1612.521212121212;-334.72121212121215;1600.0
1.65;16.0;Khaloud;Paper;16961.6;2326.4;-4647.2;-2892.8;-1535.2;-357.6;1650.0
1.7;16.0;;;16961.6;2326.4;-4647.2;-2892.8;-1535.2;-357.6;1650.0
1.75;16.0;;;16961.6;2326.4;-4647.2;-2892.8;-1535.2;-357.6;1650.0
