id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Rock;15348.0;-64.0;-652.0;-3056.0;-2082.0;317.0;0
1;Khaloud;Rock;17792.0;308.0;-748.0;-3024.0;-4054.0;98.0;103
2;Khaloud;Rock;19992.0;-248.0;-2244.0;-3040.0;-4292.0;-2130.0;207
3;Khaloud;Rock;19040.0;-1292.0;-6628.0;-3008.0;-3322.0;-207.0;310
4;Khaloud;Rock;16600.0;-1464.0;-5936.0;-3024.0;-56.0;-460.0;413
5;Khaloud;Rock;13912.0;-1996.0;-4876.0;-3024.0;2676.0;142.0;516
6;Khaloud;Rock;13284.0;-1808.0;-3188.0;-3040.0;3401.0;-54.0;619
7;Khaloud;Rock;16708.0;-1284.0;-1652.0;-3040.0;2373.0;-199.0;723
8;Khaloud;Rock;15256.0;-444.0;1736.0;-3040.0;1302.0;-2400.0;826
9;Khaloud;Rock;18472.0;4.0;-168.0;-3072.0;-2832.0;-752.0;929
10;Khaloud;Rock;19028.0;588.0;-872.0;-3056.0;-5083.0;-968.0;1032
11;Khaloud;Rock;21280.0;424.0;-3328.0;-3056.0;-5363.0;217.0;1136
12;Khaloud;Rock;18908.0;320.0;-4616.0;-3040.0;-4966.0;321.0;1239
13;Khaloud;Rock;18224.0;-324.0;-5824.0;-3008.0;-3555.0;-60.0;1341
14;Khaloud;Rock;16408.0;-1200.0;-7964.0;-3040.0;148.0;-918.0;1445
15;Khaloud;Rock;15012.0;-1848.0;-6932.0;-3040.0;2380.0;328.0;1548
16;Khaloud;Rock;13632.0;-2300.0;-5812.0;-3008.0;4700.0;-815.0;1652
17;Khaloud;Rock;14516.0;-2136.0;-2688.0;-3040.0;5019.0;-1631.0;1755
18;Khaloud;Rock;16960.0;-1592.0;-1236.0;-3040.0;3612.0;-142.0;1859
19;Khaloud;Rock;14624.0;-1536.0;172.0;-3040.0;1105.0;-1235.0;1961
20;Khaloud;Rock;18052.0;-2120.0;-1260.0;-3072.0;-1545.0;478.0;2064
21;Khaloud;Rock;17056.0;-924.0;-920.0;-3040.0;-3367.0;1856.0;2168
22;Khaloud;Rock;15512.0;-960.0;-2612.0;-3040.0;-3406.0;-1001.0;2271
23;Khaloud;Rock;16968.0;-380.0;-4004.0;-3008.0;-2708.0;1222.0;2375
24;Khaloud;Rock;17676.0;184.0;-3000.0;-3024.0;-2044.0;-157.0;2477
25;Khaloud;Rock;19568.0;784.0;-2916.0;-3024.0;-1435.0;696.0;2580
26;Khaloud;Rock;18792.0;1124.0;-3060.0;-3024.0;-954.0;388.0;2684
