time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Khaloud;Scissors;16774.4;-3656.8;-421.6;-2768.0;-1314.2;-31.4;0.0
0.05;0.484375;;;16777.3375;-3593.525;-462.8125;-2768.05;-1372.3875;-22.453125;50.0
0.1;0.96875;;;16780.275;-3530.25;-504.02500000000003;-2768.1;-1430.575;-13.506249999999998;100.0
0.15;1.453125;;;16783.2125;-3466.9750000000004;-545.2375;-2768.15;-1488.7625;-4.559374999999996;150.0
0.2;1.9375;;;16786.15;-3403.7000000000003;-586.45;-2768.2;-1546.95;4.387500000000003;200.0
0.25;2.421875;;;16789.0875;-3340.425;-627.6625;-2768.25;-1605.1375;13.334375000000001;250.0
0.3;2.90625;;;16792.025;-3277.15;-668.875;-2768.3;-1663.325;22.281250000000007;300.0
0.35;3.390625;;;16794.9625;-3213.875;-710.0875000000001;-2768.35;-1721.5125;31.228125000000006;350.0
0.4;3.875;;;16797.9;-3150.6000000000004;-751.3;-2768.4;-1779.7;40.175000000000004;400.0
0.45;4.359375;;;16800.8375;-3087.3250000000003;-792.5125;-2768.45;-1837.8875;49.12187500000001;450.0
0.5;4.84375;;;16803.775;-3024.05;-833.725;-2768.5;-1896.075;58.06875;500.0
0.55;5.328125;;;16806.7125;-2960.775;-874.9375;-2768.55;-1954.2625;67.015625;550.0
0.6;5.8125;;;16809.65;-2897.5;-916.15;-2768.6;-2012.45;75.9625;600.0
0.65;6.296875;;;16812.5875;-2834.2250000000004;-957.3625;-2768.65;-2070.6375;84.90937500000001;650.0
0.7;6.78125;;;16815.525;-2770.95;-998.575;-2768.7;-2128.825;93.85625000000002;700.0
0.75;7.265625;;;16818.4625;-2707.675;-1039.7875;-2768.75;-2187.0125;102.803125;750.0
0.8;7.75;;;16821.4;-2644.4;-1081.0;-2768.8;-2245.2;111.75;800.0
0.85;8.234375;;;16824.3375;-2581.125;-1122.2125;-2768.85;-2303.3875;120.696875;850.0
0.9;8.71875;;;16827.275;-2517.8500000000004;-1163.425;-2768.9;-2361.575;129.64375;900.0
0.95;9.203125;;;16830.2125;-2454.575;-1204.6375;-2768.95;-2419.7625;138.590625;950.0
1.0;9.6875;;;16833.15;-2391.3;-1245.85;-2769.0;-2477.95;147.5375;1000.0
1.05;10.171875;;;16836.0875;-2328.025;-1287.0625;-2769.0499999999997;-2536.1375;156.484375;1050.0
1.1;10.65625;;;16839.025;-2264.75;-1328.275;-2769.1;-2594.325;165.43125;1100.0
1.15;11.140625;;;16841.9625;-2201.4750000000004;-1369.4875;-2769.15;-2652.5125;174.378125;1150.0
1.2;11.625;;;16844.9;-2138.2;-1410.6999999999998;-2769.2;-2710.7;183.32500000000002;1200.0
1.25;12.109375;;;16847.8375;-2074.925;-1451.9125;-2769.25;-2768.8875;192.271875;1250.0
1.3;12.59375;;;16850.775;-2011.65;-1493.125;-2769.2999999999997;-2827.075;201.21875;1300.0
1.35;13.078125;;;16853.7125;-1948.375;-1534.3375;-2769.35;-2885.2625;210.165625;1350.0
1.4;13.5625;;;16856.65;-1885.1;-1575.5500000000002;-2769.4;-2943.45;219.1125;1400.0
1.45;14.046875;;;16859.5875;-1821.825;-1616.7624999999998;-2769.45;-3001.6375;228.05937500000002;1450.0
1.5;14.53125;;;16862.525;-1758.55;-1657.975;-2769.5;-3059.825;237.00625;1500.0
1.55;15.015625;;;16865.4625;-1695.275;-1699.1875;-2769.5499999999997;-3118.0125;245.95312500000003;1550.0
1.6;15.5;;;16868.4;-1632.0;-1740.4;-2769.6;-3176.2;254.9;1600.0
1.65;15.984375;;;16871.3375;-1568.725;-1781.6125000000002;-2769.65;-3234.3875;263.846875;1650.0
