id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Scissor;-14648.0;-2584.0;-7148.0;-2544.0;1460.0;-1443.0;0
1;Khaloud;Scissor;-13784.0;-2980.0;-5784.0;-2544.0;2414.0;-1161.0;102
2;Khaloud;Scissor;-16000.0;-2684.0;-7676.0;-2576.0;5179.0;-448.0;206
3;Khaloud;Scissor;-14660.0;-2068.0;-4020.0;-2528.0;6975.0;838.0;309
4;Khaloud;Scissor;-14236.0;-3308.0;-5056.0;-2512.0;7503.0;4127.0;413
5;Khaloud;Scissor;-15272.0;-3056.0;-3312.0;-2544.0;8619.0;2498.0;516
6;Khaloud;Scissor;-15076.0;-3104.0;-2424.0;-2576.0;5640.0;-421.0;619
7;Khaloud;Scissor;-15436.0;-3552.0;-3296.0;-2544.0;5564.0;-162.0;722
8;Khaloud;Scissor;-16212.0;-3056.0;-1996.0;-2560.0;5368.0;-236.0;825
9;Khaloud;Scissor;-15780.0;-2968.0;4.0;-2528.0;4205.0;1003.0;929
10;Khaloud;Scissor;-14860.0;-2892.0;2380.0;-2544.0;-1136.0;26.0;1032
11;Khaloud;Scissor;-14120.0;-2528.0;-164.0;-2528.0;-5750.0;49.0;1136
12;Khaloud;Scissor;-13920.0;-2148.0;-760.0;-2560.0;-8400.0;510.0;1238
13;Khaloud;Scissor;-15764.0;-1476.0;-3748.0;-2544.0;-9254.0;172.0;1341
14;Khaloud;Scissor;-15360.0;-924.0;-4688.0;-2544.0;-9761.0;981.0;1445
15;Khaloud;Scissor;-15556.0;-260.0;-4128.0;-2560.0;-9132.0;64.0;1548
16;Khaloud;Scissor;-16132.0;236.0;-6628.0;-2576.0;-8446.0;-33.0;1651
17;Khaloud;Scissor;-15196.0;528.0;-7068.0;-2560.0;-6061.0;1079.0;1754
18;Khaloud;Scissor;-15768.0;972.0;-7540.0;-2544.0;-4940.0;731.0;1857
19;Khaloud;Scissor;-16348.0;1108.0;-7244.0;-2560.0;-3149.0;-122.0;1961
20;Khaloud;Scissor;-15424.0;684.0;-8068.0;-2544.0;-1925.0;-1031.0;2064
21;Khaloud;Scissor;-15372.0;1308.0;-6980.0;-2560.0;1322.0;-3564.0;2167
22;Khaloud;Scissor;-16028.0;2080.0;-4884.0;-2560.0;3614.0;-3777.0;2270
23;Khaloud;Scissor;-14492.0;1436.0;-5460.0;-2560.0;5181.0;-2388.0;2374
24;Khaloud;Scissor;-15296.0;1916.0;-3004.0;-2544.0;6831.0;-2848.0;2477
25;Khaloud;Scissor;-15104.0;1832.0;-872.0;-2576.0;6041.0;-3308.0;2580
26;Khaloud;Scissor;-16856.0;1756.0;-688.0;-2560.0;5919.0;-1926.0;2684
27;Khaloud;Scissor;-14888.0;1496.0;-252.0;-2576.0;6914.0;-368.0;2786
28;Khaloud;Scissor;-14908.0;1100.0;-312.0;-2560.0;3504.0;339.0;2890
29;Khaloud;Scissor;-14420.0;952.0;1756.0;-2544.0;1514.0;-345.0;2993
30;Khaloud;Scissor;-16288.0;380.0;-1816.0;-2560.0;-847.0;-309.0;3097
