id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
16;Ziad;Paper;-8660.0;2232.0;-16588.0;-3648.0;-201.0;-10.0;1651
1;Ziad;Paper;-1928.0;-11220.0;-13788.0;-3648.0;-292.0;-445.0;4024
2;Ziad;Paper;-2492.0;-11088.0;-14296.0;-3632.0;-1215.0;504.0;4128
3;Ziad;Paper;-832.0;-10700.0;-13604.0;-3648.0;-739.0;35.0;4231
4;Ziad;Paper;-1264.0;-10420.0;-12628.0;-3616.0;-1064.0;81.0;4334
5;Ziad;Paper;4532.0;-8540.0;-12996.0;-3632.0;-1927.0;841.0;4438
6;Ziad;Paper;6828.0;-5840.0;-14068.0;-3632.0;-2982.0;597.0;4540
7;Ziad;Paper;580.0;-2056.0;-15436.0;-3616.0;-4120.0;-1599.0;4644
8;Ziad;Paper;-9648.0;3116.0;-17520.0;-3616.0;-4505.0;-2407.0;4747
9;Ziad;Paper;-16816.0;5884.0;-16664.0;-3632.0;-880.0;-3954.0;4850
10;Ziad;Paper;-24452.0;4904.0;-14504.0;-3616.0;649.0;-2354.0;4953
11;Ziad;Paper;-18648.0;2636.0;-15180.0;-3616.0;-507.0;-874.0;5056
12;Ziad;Paper;-10824.0;2700.0;-13272.0;-3632.0;-1444.0;204.0;5160
13;Ziad;Paper;-7332.0;2788.0;-14240.0;-3632.0;-1916.0;1127.0;5263
14;Ziad;Paper;-9432.0;2428.0;-14684.0;-3616.0;-1722.0;863.0;5367
15;Ziad;Paper;-9016.0;2260.0;-14928.0;-3632.0;-1473.0;1423.0;5469
16;Ziad;Paper;-7204.0;2368.0;-15292.0;-3632.0;-1590.0;584.0;5572
