id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Rock;-14152.0;-412.0;-24732.0;-3664.0;16071.0;8447.0;0
1;Ziad;Rock;-17340.0;-2680.0;-12024.0;-3696.0;19006.0;8625.0;104
2;Ziad;Rock;-3656.0;-4320.0;3024.0;-3680.0;2184.0;-109.0;207
3;Ziad;Rock;9692.0;-2080.0;-8180.0;-3648.0;-12631.0;-8083.0;311
4;Ziad;Rock;9992.0;1188.0;-12596.0;-3680.0;-15066.0;-19306.0;414
5;Ziad;Rock;6540.0;3276.0;-28604.0;-3664.0;-7801.0;-11939.0;516
6;Ziad;Rock;-5092.0;3376.0;-26048.0;-3696.0;5288.0;-712.0;620
7;Ziad;Rock;-10784.0;1600.0;-29160.0;-3664.0;11901.0;2418.0;723
8;Ziad;Rock;-20840.0;-1072.0;-17332.0;-3680.0;23856.0;11981.0;827
9;Ziad;Rock;-12088.0;-2728.0;-9816.0;-3680.0;22306.0;8418.0;930
10;Ziad;Rock;-132.0;-4704.0;5368.0;-3664.0;12942.0;-3171.0;1032
11;Ziad;Rock;5968.0;-3388.0;648.0;-3664.0;-7491.0;-13757.0;1136
12;Ziad;Rock;16240.0;-2072.0;-13900.0;-3680.0;-15090.0;-19941.0;1239
13;Ziad;Rock;10060.0;712.0;-20512.0;-3664.0;-13106.0;-14372.0;1343
14;Ziad;Rock;2820.0;2680.0;-22024.0;-3696.0;-7590.0;-6037.0;1446
15;Ziad;Rock;-10916.0;-1096.0;-25060.0;-3648.0;-42.0;37.0;1549
16;Ziad;Rock;-8108.0;-2644.0;-14796.0;-3664.0;825.0;-768.0;1652
17;Ziad;Rock;-4632.0;-2696.0;-16100.0;-3680.0;239.0;-1552.0;1755
18;Ziad;Rock;-3012.0;-2672.0;-15976.0;-3696.0;-1322.0;-758.0;1859
19;Ziad;Rock;-3708.0;-2372.0;-16408.0;-3696.0;-436.0;-1.0;1962
