id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Scissors;2824.0;-3512.0;-17740.0;-3616.0;-763.0;-423.0;0
1;Ziad;Scissors;6788.0;-2320.0;-17700.0;-3616.0;-222.0;1606.0;102
2;Ziad;Scissors;15532.0;0.0;-14536.0;-3600.0;-2392.0;364.0;205
3;Ziad;Scissors;9572.0;1084.0;-19676.0;-3568.0;-3095.0;-687.0;309
4;Ziad;Scissors;2976.0;2644.0;-18104.0;-3632.0;-229.0;5015.0;412
5;Ziad;Scissors;-21008.0;-936.0;-18280.0;-3584.0;-1183.0;766.0;515
6;Ziad;Scissors;-9656.0;-1384.0;-13844.0;-3568.0;-2554.0;490.0;618
7;Ziad;Scissors;-3624.0;116.0;-15724.0;-3632.0;-4961.0;70.0;721
8;Ziad;Scissors;-2596.0;2284.0;-16480.0;-3568.0;-5350.0;-2047.0;825
9;Ziad;Scissors;7992.0;5012.0;-17428.0;-3584.0;-9877.0;3019.0;927
10;Ziad;Scissors;19884.0;6144.0;-24640.0;-3600.0;-5984.0;4606.0;1031
11;Ziad;Scissors;25820.0;8136.0;-19324.0;-3600.0;1304.0;-2131.0;1134
12;Ziad;Scissors;8876.0;8572.0;-18268.0;-3600.0;1496.0;-4344.0;1238
13;Ziad;Scissors;-3216.0;4980.0;-14908.0;-3568.0;1062.0;-3709.0;1341
14;Ziad;Scissors;-13408.0;856.0;-17800.0;-3616.0;-3211.0;-3549.0;1443
15;Ziad;Scissors;-2432.0;276.0;-20060.0;-3632.0;-98.0;-1180.0;1547
16;Ziad;Scissors;1984.0;444.0;-16480.0;-3600.0;-1366.0;-499.0;1650
