id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Paper;5656.0;-1236.0;9900.0;-3792.0;-392.0;-1525.0;0
1;Ziad;Paper;12324.0;-924.0;10020.0;-3824.0;-1659.0;-757.0;103
2;Ziad;Paper;11692.0;-620.0;10948.0;-3824.0;-1237.0;-2502.0;207
3;Ziad;Paper;13568.0;780.0;12052.0;-3808.0;-1685.0;-1949.0;310
4;Ziad;Paper;11192.0;976.0;11108.0;-3840.0;-2112.0;-773.0;413
5;Ziad;Paper;12052.0;1172.0;8596.0;-3840.0;-746.0;680.0;516
6;Ziad;Paper;14144.0;1516.0;8312.0;-3792.0;-1525.0;-501.0;620
7;Ziad;Paper;11676.0;2216.0;9476.0;-3824.0;-1226.0;-489.0;722
8;Ziad;Paper;9884.0;2736.0;11800.0;-3824.0;-1531.0;-2307.0;825
9;Ziad;Paper;18572.0;3300.0;10076.0;-3824.0;-1343.0;-751.0;929
10;Ziad;Paper;14944.0;3464.0;9300.0;-3808.0;-602.0;468.0;1031
