time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Ziad;Rock;-16680.0;1064.0;-3613.6;-2176.0;236.0;-380.6;0.0
0.05;0.48484848484848486;;;-16613.551515151514;1039.4424242424243;-3434.763636363636;-2175.9030303030304;180.72121212121212;-341.19393939393944;50.0
0.1;0.9696969696969697;;;-16547.10303030303;1014.8848484848485;-3255.927272727273;-2175.806060606061;125.44242424242424;-301.7878787878788;100.0
0.15;1.4545454545454546;;;-16480.654545454545;990.3272727272728;-3077.090909090909;-2175.7090909090907;70.16363636363636;-262.3818181818182;150.0
0.2;1.9393939393939394;;;-16414.206060606062;965.769696969697;-2898.254545454545;-2175.612121212121;14.884848484848476;-222.9757575757576;200.0
0.25;2.4242424242424243;;;-16347.757575757576;941.2121212121212;-2719.4181818181814;-2175.5151515151515;-40.39393939393938;-183.569696969697;250.0
0.3;2.909090909090909;;;-16281.309090909092;916.6545454545454;-2540.581818181818;-2175.418181818182;-95.67272727272729;-144.16363636363639;300.0
0.35;3.393939393939394;;;-16214.860606060607;892.0969696969697;-2361.7454545454543;-2175.3212121212123;-150.9515151515152;-104.75757575757575;350.0
0.4;3.878787878787879;;;-16148.41212121212;867.5393939393939;-2182.909090909091;-2175.2242424242427;-206.23030303030305;-65.35151515151517;400.0
0.45;4.363636363636363;;;-16081.963636363636;842.9818181818182;-2004.0727272727272;-2175.1272727272726;-261.5090909090909;-25.945454545454595;450.0
0.5;4.848484848484849;;;-16015.515151515152;818.4242424242424;-1825.2363636363634;-2175.030303030303;-316.78787878787875;13.46060606060604;500.0
0.55;5.333333333333334;;;-15949.066666666668;793.8666666666667;-1646.3999999999999;-2174.9333333333334;-372.0666666666667;52.866666666666674;550.0
0.6;5.818181818181818;;;-15882.618181818183;769.3090909090909;-1467.5636363636363;-2174.836363636364;-427.3454545454546;92.27272727272725;600.0
0.65;6.303030303030303;;;-15816.169696969697;744.7515151515152;-1288.7272727272725;-2174.739393939394;-482.6242424242424;131.67878787878783;650.0
0.7;6.787878787878788;;;-15749.721212121212;720.1939393939394;-1109.8909090909087;-2174.642424242424;-537.9030303030304;171.08484848484852;700.0
0.75;7.272727272727273;;;-15683.272727272728;695.6363636363636;-931.0545454545454;-2174.5454545454545;-593.1818181818182;210.4909090909091;750.0
0.8;7.757575757575758;;;-15616.824242424243;671.0787878787878;-752.2181818181816;-2174.448484848485;-648.4606060606061;249.89696969696968;800.0
0.85;8.242424242424242;;;-15550.375757575757;646.5212121212121;-573.3818181818178;-2174.3515151515153;-703.739393939394;289.30303030303025;850.0
0.9;8.727272727272727;;;-15483.927272727273;621.9636363636364;-394.5454545454545;-2174.2545454545457;-759.0181818181818;328.70909090909083;900.0
0.95;9.212121212121213;;;-15417.478787878788;597.4060606060606;-215.70909090909072;-2174.157575757576;-814.2969696969697;368.1151515151515;950.0
1.0;9.696969696969697;;;-15351.030303030304;572.8484848484848;-36.872727272726934;-2174.060606060606;-869.5757575757575;407.5212121212121;1000.0
1.05;10.181818181818182;;;-15284.58181818182;548.290909090909;141.9636363636364;-2173.9636363636364;-924.8545454545456;446.9272727272727;1050.0
1.1;10.666666666666668;;;-15218.133333333333;523.7333333333333;320.8000000000002;-2173.866666666667;-980.1333333333334;486.33333333333337;1100.0
1.15;11.151515151515152;;;-15151.684848484849;499.17575757575753;499.6363636363635;-2173.769696969697;-1035.4121212121213;525.739393939394;1150.0
1.2;11.636363636363637;;;-15085.236363636364;474.6181818181818;678.4727272727273;-2173.6727272727276;-1090.6909090909091;565.1454545454545;1200.0
1.25;12.121212121212121;;;-15018.78787878788;450.060606060606;857.3090909090911;-2173.5757575757575;-1145.969696969697;604.5515151515151;1250.0
1.3;12.606060606060606;;;-14952.339393939394;425.5030303030303;1036.1454545454549;-2173.478787878788;-1201.2484848484848;643.9575757575757;1300.0
1.35;13.090909090909092;;;-14885.89090909091;400.9454545454545;1214.9818181818187;-2173.3818181818183;-1256.5272727272727;683.3636363636364;1350.0
1.4;13.575757575757576;;;-14819.442424242425;376.3878787878788;1393.8181818181824;-2173.2848484848487;-1311.8060606060608;722.7696969696971;1400.0
1.45;14.06060606060606;;;-14752.99393939394;351.83030303030296;1572.6545454545453;-2173.187878787879;-1367.0848484848486;762.1757575757575;1450.0
1.5;14.545454545454547;;;-14686.545454545456;327.27272727272725;1751.490909090909;-2173.0909090909095;-1422.3636363636365;801.5818181818182;1500.0
1.55;15.030303030303031;;;-14620.09696969697;302.71515151515143;1930.3272727272729;-2172.9939393939394;-1477.6424242424243;840.9878787878787;1550.0
1.6;15.515151515151516;;;-14553.648484848485;278.1575757575757;2109.1636363636367;-2172.89696969697;-1532.9212121212122;880.3939393939394;1600.0
1.65;16.0;Ziad;Rock;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
1.7;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
1.75;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
1.8;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
1.85;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
1.9;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
1.95;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
2.0;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
2.05;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
2.1;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
2.15;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
2.2;16.0;;;-14487.2;253.6;2288.0;-2172.8;-1588.2;919.8;1650.0
