id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Rock;16612.0;1336.0;-532.0;-3648.0;-798.0;-1548.0;0
1;Ziad;Rock;19200.0;1928.0;-448.0;-3648.0;-4446.0;-1245.0;103
2;Ziad;Rock;22720.0;1556.0;-9364.0;-3632.0;-3290.0;-277.0;206
3;Ziad;Rock;14844.0;552.0;-8128.0;-3680.0;3510.0;2609.0;309
4;Ziad;Rock;9092.0;-1448.0;-4360.0;-3616.0;5976.0;-974.0;412
5;Ziad;Rock;10736.0;-1632.0;-2320.0;-3664.0;3825.0;-1970.0;516
6;Ziad;Rock;20028.0;2204.0;6556.0;-3648.0;-3377.0;-2840.0;618
7;Ziad;Rock;26536.0;3448.0;-2044.0;-3680.0;-10093.0;-5035.0;722
8;Ziad;Rock;22184.0;1016.0;-9936.0;-3680.0;-9499.0;-759.0;825
9;Ziad;Rock;13860.0;-1424.0;-13580.0;-3648.0;-7111.0;5460.0;929
10;Ziad;Rock;7504.0;-1396.0;-11004.0;-3664.0;9090.0;3521.0;1032
11;Ziad;Rock;6408.0;-2284.0;1476.0;-3648.0;13779.0;3840.0;1134
12;Ziad;Rock;13424.0;-692.0;6676.0;-3648.0;11213.0;1806.0;1238
13;Ziad;Rock;18092.0;1808.0;11192.0;-3632.0;-217.0;315.0;1341
14;Ziad;Rock;20976.0;1636.0;5896.0;-3664.0;-7814.0;-2572.0;1445
15;Ziad;Rock;19304.0;380.0;-3524.0;-3648.0;-6712.0;-4117.0;1547
16;Ziad;Rock;16896.0;848.0;-5004.0;-3632.0;-1750.0;713.0;1650
17;Ziad;Rock;17400.0;2992.0;-156.0;-3600.0;198.0;-892.0;1754
18;Ziad;Rock;18880.0;2816.0;-4228.0;-3664.0;-461.0;-881.0;1857
