time_s;id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0.0;0.0;Ziad;Scissors;-15276.0;3004.0;-2090.4;-2579.2;2631.0;-271.8;0.0
0.05;0.48484848484848486;;;-15281.18787878788;3070.521212121212;-2110.836363636364;-2579.5878787878787;2461.7393939393937;-248.24848484848485;50.0
0.1;0.9696969696969697;;;-15286.375757575757;3137.042424242424;-2131.2727272727275;-2579.9757575757576;2292.478787878788;-224.6969696969697;100.0
0.15;1.4545454545454546;;;-15291.563636363637;3203.5636363636363;-2151.709090909091;-2580.363636363636;2123.2181818181816;-201.14545454545456;150.0
0.2;1.9393939393939394;;;-15296.751515151514;3270.0848484848484;-2172.1454545454544;-2580.751515151515;1953.9575757575758;-177.5939393939394;200.0
0.25;2.4242424242424243;;;-15301.939393939394;3336.6060606060605;-2192.581818181818;-2581.139393939394;1784.6969696969695;-154.04242424242423;250.0
0.3;2.909090909090909;;;-15307.127272727274;3403.1272727272726;-2213.018181818182;-2581.5272727272727;1615.4363636363635;-130.4909090909091;300.0
0.35;3.393939393939394;;;-15312.315151515151;3469.6484848484847;-2233.4545454545455;-2581.9151515151516;1446.1757575757574;-106.93939393939394;350.0
0.4;3.878787878787879;;;-15317.50303030303;3536.169696969697;-2253.890909090909;-2582.30303030303;1276.9151515151514;-83.38787878787878;400.0
0.45;4.363636363636363;;;-15322.690909090908;3602.690909090909;-2274.327272727273;-2582.690909090909;1107.6545454545453;-59.836363636363615;450.0
0.5;4.848484848484849;;;-15327.878787878788;3669.212121212121;-2294.7636363636366;-2583.078787878788;938.3939393939393;-36.28484848484845;500.0
0.55;5.333333333333334;;;-15333.066666666668;3735.733333333333;-2315.2000000000003;-2583.4666666666667;769.1333333333332;-12.733333333333292;550.0
0.6;5.818181818181818;;;-15338.254545454545;3802.254545454545;-2335.636363636364;-2583.854545454545;599.8727272727269;10.818181818181813;600.0
0.65;6.303030303030303;;;-15343.442424242425;3868.775757575758;-2356.072727272727;-2584.242424242424;430.6121212121211;34.369696969696975;650.0
0.7;6.787878787878788;;;-15348.630303030302;3935.2969696969694;-2376.509090909091;-2584.630303030303;261.35151515151483;57.921212121212136;700.0
0.75;7.272727272727273;;;-15353.818181818182;4001.818181818182;-2396.9454545454546;-2585.018181818182;92.09090909090901;81.4727272727273;750.0
0.8;7.757575757575758;;;-15359.006060606062;4068.3393939393936;-2417.3818181818183;-2585.4060606060607;-77.16969696969727;105.02424242424246;800.0
0.85;8.242424242424242;;;-15364.19393939394;4134.860606060606;-2437.818181818182;-2585.793939393939;-246.43030303030355;128.57575757575762;850.0
0.9;8.727272727272727;;;-15369.381818181819;4201.381818181818;-2458.2545454545457;-2586.181818181818;-415.6909090909094;152.12727272727278;900.0
0.95;9.212121212121213;;;-15374.569696969698;4267.90303030303;-2478.6909090909094;-2586.569696969697;-584.9515151515157;175.67878787878794;950.0
1.0;9.696969696969697;;;-15379.757575757576;4334.424242424242;-2499.1272727272726;-2586.957575757576;-754.2121212121215;199.2303030303031;1000.0
1.05;10.181818181818182;;;-15384.945454545456;4400.945454545455;-2519.5636363636363;-2587.3454545454547;-923.4727272727278;222.7818181818182;1050.0
1.1;10.666666666666668;;;-15390.133333333333;4467.466666666666;-2540.0;-2587.733333333333;-1092.7333333333336;246.33333333333343;1100.0
1.15;11.151515151515152;;;-15395.321212121213;4533.987878787879;-2560.4363636363637;-2588.121212121212;-1261.9939393939399;269.88484848484853;1150.0
1.2;11.636363636363637;;;-15400.509090909092;4600.50909090909;-2580.8727272727274;-2588.509090909091;-1431.2545454545461;293.43636363636364;1200.0
1.25;12.121212121212121;;;-15405.69696969697;4667.030303030303;-2601.309090909091;-2588.89696969697;-1600.515151515152;316.98787878787886;1250.0
1.3;12.606060606060606;;;-15410.88484848485;4733.551515151516;-2621.745454545455;-2589.284848484848;-1769.7757575757578;340.53939393939396;1300.0
1.35;13.090909090909092;;;-15416.072727272727;4800.072727272727;-2642.181818181818;-2589.672727272727;-1939.0363636363645;364.0909090909092;1350.0
1.4;13.575757575757576;;;-15421.260606060607;4866.593939393939;-2662.618181818182;-2590.060606060606;-2108.2969696969703;387.6424242424243;1400.0
1.45;14.06060606060606;;;-15426.448484848486;4933.115151515151;-2683.0545454545454;-2590.448484848485;-2277.557575757576;411.1939393939395;1450.0
1.5;14.545454545454547;;;-15431.636363636364;4999.636363636364;-2703.490909090909;-2590.836363636364;-2446.818181818182;434.7454545454546;1500.0
1.55;15.030303030303031;;;-15436.824242424243;5066.157575757576;-2723.927272727273;-2591.224242424242;-2616.0787878787887;458.2969696969698;1550.0
1.6;15.515151515151516;;;-15442.012121212121;5132.678787878787;-2744.3636363636365;-2591.612121212121;-2785.3393939393945;481.84848484848493;1600.0
1.65;16.0;Ziad;Scissors;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
1.7;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
1.75;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
1.8;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
1.85;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
1.9;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
1.95;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.0;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.05;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.1;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.15;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.2;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.25;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.3;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.35;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.4;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.45;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.5;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.55;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.6;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
2.65;16.0;;;-15447.2;5199.2;-2764.8;-2592.0;-2954.6;505.4;1650.0
