id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Scissors;-16048.0;3740.0;-2844.0;-2608.0;3224.0;779.0;0
1;Ziad;Scissors;-14828.0;3620.0;-1252.0;-2592.0;3776.0;667.0;103
2;Ziad;Scissors;-15252.0;3568.0;-252.0;-2592.0;3212.0;1275.0;206
3;Ziad;Scissors;-15588.0;3884.0;-2192.0;-2576.0;2710.0;-414.0;310
4;Ziad;Scissors;-15176.0;3684.0;-856.0;-2576.0;1290.0;191.0;412
5;Ziad;Scissors;-15416.0;3760.0;-296.0;-2560.0;1138.0;-1034.0;515
6;Ziad;Scissors;-13580.0;3588.0;228.0;-2560.0;-408.0;-2126.0;619
7;Ziad;Scissors;-13424.0;3928.0;1308.0;-2592.0;-2612.0;-1735.0;721
8;Ziad;Scissors;-13692.0;4756.0;160.0;-2608.0;-3758.0;-731.0;825
9;Ziad;Scissors;-15092.0;4724.0;984.0;-2608.0;-4037.0;237.0;928
10;Ziad;Scissors;-15732.0;4984.0;-2268.0;-2576.0;-3946.0;1217.0;1032
11;Ziad;Scissors;-15056.0;5428.0;-2152.0;-2560.0;-3453.0;580.0;1134
12;Ziad;Scissors;-15140.0;5412.0;-1156.0;-2560.0;-2903.0;-9.0;1237
13;Ziad;Scissors;-15196.0;5408.0;-760.0;-2576.0;-3177.0;-554.0;1341
14;Ziad;Scissors;-15756.0;5540.0;-1520.0;-2576.0;-3217.0;124.0;1443
15;Ziad;Scissors;-16712.0;6284.0;-3600.0;-2560.0;-1439.0;751.0;1547
16;Ziad;Scissors;-13676.0;6128.0;-3548.0;-2576.0;988.0;311.0;1650
17;Ziad;Scissors;-13860.0;6264.0;-2316.0;-2560.0;2665.0;-114.0;1753
18;Ziad;Scissors;-13732.0;5824.0;-636.0;-2592.0;2741.0;1250.0;1856
19;Ziad;Scissors;-14496.0;5860.0;-660.0;-2560.0;2332.0;665.0;1959
20;Ziad;Scissors;-15192.0;5516.0;-496.0;-2592.0;1825.0;629.0;2063
21;Ziad;Scissors;-14540.0;5408.0;-312.0;-2592.0;1007.0;406.0;2165
22;Ziad;Scissors;-14756.0;5204.0;352.0;-2560.0;46.0;-400.0;2269
23;Ziad;Scissors;-14360.0;5196.0;-384.0;-2592.0;-896.0;-461.0;2372
24;Ziad;Scissors;-15048.0;5400.0;-1852.0;-2560.0;-1278.0;-120.0;2474
25;Ziad;Scissors;-15144.0;5152.0;-2060.0;-2576.0;-1105.0;-217.0;2578
